epoch,effective_height,summary_rows,positive_unclaimed_rows,positive_unclaimed_reward,settle_snapshot_entries,settle_entries_for_epoch,candidate_pairs,candidate_reward_ngonka
97,1519978,415,6,8125070579633,419,400,1,8432384134
112,1750843,573,6,731602580169,563,552,1,7993576578
116,1812407,594,57,2751905731625,557,544,15,1037343139724
129,2012490,597,7,218739570224,534,527,1,7470360710
132,2058663,613,31,5776580606544,523,518,1,14096689777
240,3720986,160,0,0,131,131,0,0
275,4259671,55,0,0,48,48,0,0
276,4275062,54,0,0,39,39,0,0
277,4290453,56,0,0,50,50,0,0
278,4305844,57,0,0,44,44,0,0
279,4321235,57,0,0,49,49,0,0
280,4336626,54,0,0,51,51,0,0
