address,case_family_count,case_track_count,component_rows,epochs_present,exact_address_epoch_overlap_keys,status_groups,case_tracks,P3-CAND-01_gonka,P3-CAND-02_gonka,P3-CAND-03_gonka,P3-CAND-04_gonka,P4-CAND-01_gonka,total_gonka_if_naively_summed
gonka10079cnl3nuh2k82mhkm04dj0slhtw9kmjewwau,3,3,10,"268,269,270,271,272,273,274,275,276",1,"disputed_not_aggregate,pending_estimate,pending_estimate_revalidation_required",P3-CAND-01-confirmed; P3-CAND-04; P4-GroupCap-source,5700.549989479,,,3617.119418189,20610.390027954,29928.059435622
gonka1j7x6dv42xehe9e5au4ku3wvzwtqlegfjhlvzj6,2,4,4,"265,266,267",1,"disputed_not_aggregate,local_validated_recommended,pending_estimate",P3-CAND-03; P3-CAND-03-EXT; P4-e265-source-cpoc; P4-e266-nonce,,,31158.584694469,,39809.676543013,70968.261237482
gonka1yal0ysgzc860zt3y8cds8656tnueusgymftvkw,2,3,6,"266,267,270,275,276",1,"disputed_not_aggregate,pending_estimate,pending_estimate_revalidation_required",P3-CAND-04; P4-GroupCap-source; P4-e266-nonce,,,,49.060506444,17630.158097135,17679.218603579
gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2,2,2,6,"267,269,270,273,276",1,"disputed_not_aggregate,pending_estimate_revalidation_required",P3-CAND-04; P4-GroupCap-source,,,,34.245204993,11021.183080111,11055.428285104
gonka1gvrrhjmy4w4mayvs2s5l23edj8ertcmtd2v4zr,2,2,9,"269,270,271,272,273,274,275,276",1,"disputed_not_aggregate,pending_estimate_revalidation_required",P3-CAND-04; P4-GroupCap-source,,,,3390.761041922,52290.195675726,55680.956717648
gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5,2,2,8,"267,269,270,271,272,275,276",1,"disputed_not_aggregate,pending_estimate_revalidation_required",P3-CAND-04; P4-GroupCap-source,,,,10.929320742,3018.840187451,3029.769508193
gonka1scskt6wpnjnumsah6kjphmdu87vjgvcxmn4rxv,2,2,3,"275,276",1,"disputed_not_aggregate,pending_estimate_revalidation_required",P3-CAND-04; P4-GroupCap-source,,,,3342.429156860,5645.801436758,8988.230593618
gonka14ef2pxjge75gflqftn7m2wy0xv59gq9uc7qnct,1,2,2,266,1,pending_estimate,P4-e266-delegation; P4-e266-nonce,,,,,276.414090986,276.414090986
gonka1ce02jjduga8jvwj8jx39mxn0jr345vgkx7lk2n,3,3,4,"272,273,274,276",0,"disputed_not_aggregate,pending_estimate,pending_estimate_revalidation_required",P3-CAND-01-confirmed; P3-CAND-04; P4-GroupCap-source,1965.730685067,,,9.957825565,1753.409171279,3729.097681911
gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu,2,4,4,"265,266,267,276",0,"disputed_not_aggregate,pending_estimate,pending_estimate_revalidation_required",P3-CAND-04; P4-GroupCap-source; P4-e265-source-cpoc; P4-e266-nonce,,,,923.163292052,101147.807218599,102070.970510651
gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,2,3,11,"266,267,268,269,270,271,272,273,274,275,276",0,"disputed_not_aggregate,pending_estimate,pending_estimate_revalidation_required",P3-CAND-04; P4-GroupCap-source; P4-e266-nonce,,,,16028.213179615,66487.744752217,82515.957931832
gonka1007dchuqgdnute4qam70kmn56j2vfw38mhyrqv,2,2,6,"268,269,270,271,272,273",0,"disputed_not_aggregate,pending_estimate",P3-CAND-01-confirmed; P4-GroupCap-source,7287.485958471,,,,11262.520197774,18550.006156245
gonka1007g0ut3u4wjkay9hegqfev4pj90qgexwskmcw,2,2,6,"268,269,270,271,272,273",0,"disputed_not_aggregate,pending_estimate",P3-CAND-01-confirmed; P4-GroupCap-source,7238.152949000,,,,11688.555563236,18926.708512236
gonka14ljarev2nlzu4ej50vx7ylj2rvg4n20fnq2ysc,2,2,4,"272,273,274,276",0,"disputed_not_aggregate,pending_estimate_revalidation_required",P3-CAND-04; P4-GroupCap-source,,,,79.662604523,4444.392150972,4524.054755495
gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5,2,2,6,"267,268,269,270,271,272",0,"disputed_not_aggregate,pending_estimate",P3-CAND-01-confirmed; P4-GroupCap-source,4064.625997098,,,,18234.887510983,22299.513508081
gonka1fvly5jrewyjmjfgwah3khy9rttq4cqajcesv9p,2,2,2,"266,276",0,"pending_estimate,pending_estimate_revalidation_required",P3-CAND-04; P4-e266-delegation,,,,0.728621382,113.864833864,114.593455246
gonka1gyk0aahvr3qeju4zx0nplfreej6cy4jjk8svc5,2,2,2,"266,276",0,"pending_estimate,pending_estimate_revalidation_required",P3-CAND-04; P4-e266-delegation,,,,83.791459026,30.990428883,114.781887909
gonka1mmlyd5xxu5l68yx8wzclrkxkxvm88mhq5tp5s0,2,2,5,"267,271,274,275,276",0,"disputed_not_aggregate,pending_estimate_revalidation_required",P3-CAND-04; P4-GroupCap-source,,,,3540.857046786,6618.057560512,10158.914607298
