case_track,case_family,status_groups,component_rows,unique_positive_addresses,epochs_present,epoch_97_gonka,epoch_112_gonka,epoch_116_gonka,epoch_129_gonka,epoch_132_gonka,epoch_265_gonka,epoch_266_gonka,epoch_267_gonka,epoch_268_gonka,epoch_269_gonka,epoch_270_gonka,epoch_271_gonka,epoch_272_gonka,epoch_273_gonka,epoch_274_gonka,epoch_275_gonka,epoch_276_gonka,total_gonka
P3-CAND-01-confirmed,P3-CAND-01,pending_estimate,6,6,272,,,,,,,,,,,,,35040.581153560,,,,,35040.581153560
P3-CAND-01-manual-review,P3-CAND-01,pending_estimate,1,1,272,,,,,,,,,,,,,69.342202123,,,,,69.342202123
P3-CAND-02,P3-CAND-02,local_validated_recommended,19,19,"97,112,116,129,132",8.432384134,7.993576578,1037.343139724,7.470360710,14.096689777,,,,,,,,,,,,,1075.336150923
P3-CAND-03,P3-CAND-03,local_validated_recommended,1,1,267,,,,,,,,10262.057515369,,,,,,,,,,10262.057515369
P3-CAND-03-EXT,P3-CAND-03,local_validated_recommended,1,1,265,,,,,,20896.527179100,,,,,,,,,,,,20896.527179100
P3-CAND-04,P3-CAND-04,pending_estimate_revalidation_required,19,19,276,,,,,,,,,,,,,,,,,32429.966254822,32429.966254822
P4-GroupCap-source,P4-CAND-01,disputed_not_aggregate,76,16,"267,268,269,270,271,272,273,274,275,276",,,,,,,,101606.882824063,16639.365967050,22964.915182798,32856.422908291,12545.137838459,4410.302049474,29247.719272758,14482.886377300,33839.773759487,15848.692198906,284442.098378586
P4-e265-source-cpoc,P4-CAND-01,disputed_not_aggregate,2,2,265,,,,,,26341.013012119,,,,,,,,,,,,26341.013012119
P4-e266-delegation,P4-CAND-01,pending_estimate,2,2,266,,,,,,,144.855262747,,,,,,,,,,,144.855262747
P4-e266-nonce,P4-CAND-01,pending_estimate,4,4,266,,,,,,,74206.912238546,,,,,,,,,,,74206.912238546
