epoch,effective_height,summary_rows,positive_unclaimed_rows,positive_unclaimed_reward,settle_snapshot_entries,settle_entries_for_epoch,candidate_pairs,candidate_reward_ngonka
87,1366068,1468,10,9413778997422,293,287,0,0
88,1381459,1560,13,3065642039124,353,344,0,0
89,1396850,1715,16,5494233632716,403,395,0,0
90,1412241,457,14,1094725634448,440,423,0,0
91,1427632,444,6,958116066749,426,411,0,0
92,1443023,436,5,4362291022594,420,406,0,0
93,1458414,439,11,2140534037009,423,411,0,0
94,1473805,415,3,89641007213,405,390,0,0
95,1489196,453,10,399007617573,420,412,0,0
96,1504587,425,1,6610405256586,427,406,0,0
97,1519978,415,6,8125070579633,419,400,1,8432384134
98,1535369,419,4,609742520001,412,398,0,0
99,1550760,448,3,1235469762567,425,418,0,0
100,1566151,439,2,293423567403,438,416,0,0
101,1581542,453,2,511091290108,447,442,0,0
102,1596933,456,4,82909570326,439,433,0,0
103,1612324,462,7,641959792266,463,445,0,0
104,1627715,461,1,1805104362,460,442,0,0
105,1643106,477,5,1153728404211,482,463,0,0
106,1658497,465,9,1025664079592,468,449,0,0
107,1673888,468,9,2725489475305,482,446,0,0
108,1689279,486,13,1060161651821,488,456,0,0
109,1704670,488,4,226594999060,487,445,0,0
110,1720061,499,2,136976710256,501,481,0,0
111,1735452,545,7,248101191284,534,525,0,0
112,1750843,573,6,731602580169,563,552,1,7993576578
113,1766234,535,5,972228009273,529,509,0,0
114,1781625,559,7,1067283037615,542,519,0,0
115,1797016,586,10,1647876660485,569,550,0,0
116,1812407,594,57,2751905731625,557,544,15,1037343139724
117,1827798,653,55,20500352273779,613,598,0,0
118,1843189,602,4,347424534137,561,507,0,0
119,1858580,609,7,574511178372,591,587,0,0
120,1873971,622,2,29397086106,578,568,0,0
121,1889362,646,3,463822798860,580,578,0,0
122,1904753,640,10,345172873404,571,567,0,0
123,1920144,625,4,834147616908,524,513,0,0
124,1935535,572,7,578057347316,464,438,0,0
125,1950926,548,5,126355376867,485,478,0,0
126,1966317,564,4,58483019996,540,536,0,0
127,1981708,582,10,7491451452882,542,538,0,0
128,1997099,617,6,217495501227,587,581,0,0
129,2012490,597,7,218739570224,534,527,1,7470360710
130,2027881,600,2,4387337692708,541,536,0,0
131,2043272,597,2,225496197410,558,544,0,0
132,2058663,613,31,5776580606544,523,518,1,14096689777
133,2074054,624,12,20678803640169,509,485,0,0
134,2089445,510,4,141464020193,474,462,0,0
135,2104836,534,6,207097974410,497,495,0,0
136,2120227,542,6,201918568617,504,501,0,0
137,2135618,539,5,66230109701,499,495,0,0
138,2151009,539,2,332324039605,389,384,0,0
139,2166400,442,0,0,377,375,0,0
140,2181791,405,4,1607115785941,379,379,0,0
141,2197182,401,6,112952581550,371,369,0,0
142,2212573,403,15,3438565419854,354,350,0,0
275,4259671,55,0,0,48,48,0,0
276,4275062,54,0,0,39,39,0,0
277,4290453,56,0,0,50,50,0,0
278,4305844,57,0,0,44,44,0,0
279,4321235,57,0,0,49,49,0,0
280,4336626,54,0,0,51,51,0,0
