epoch,effective_height,summary_rows,positive_unclaimed_rows,positive_unclaimed_reward,settle_snapshot_entries,settle_entries_for_epoch,candidate_pairs,candidate_reward_ngonka
1,17785,18,0,0,10,10,0,0
2,35065,20,0,0,10,10,0,0
3,52345,26,0,0,10,10,0,0
4,69625,36,3,49383417588994,11,11,0,0
5,86905,41,1,16157584554136,13,12,0,0
6,104185,46,3,22779692189174,19,19,0,0
7,121465,50,2,3901746797453,22,20,0,0
8,138745,52,0,0,20,20,0,0
9,156025,53,0,0,22,22,0,0
10,173305,56,3,7230005659455,23,23,0,0
11,190585,57,2,20688743984864,22,21,0,0
12,207865,58,0,0,21,19,0,0
13,225145,67,0,0,20,20,0,0
14,242425,71,0,0,29,29,0,0
15,257816,73,1,2278576075725,31,31,0,0
16,273207,74,3,13691734798502,32,32,0,0
17,288598,78,1,12245936076999,34,34,0,0
18,303989,80,0,0,34,33,0,0
19,319380,86,1,1897242863444,35,35,0,0
20,334771,96,10,43996102011203,38,38,0,0
21,350162,98,1,15747055099525,39,37,0,0
22,365553,99,1,460251973137,38,38,0,0
23,380944,100,1,11266699020759,36,35,0,0
24,396335,100,1,1968352946857,37,36,0,0
25,411726,100,3,38034671804337,38,38,0,0
26,427117,100,5,42917060504034,40,40,0,0
27,442508,100,3,13326267199214,43,39,0,0
28,457999,100,0,0,40,38,0,0
29,473390,100,4,28523330498462,39,39,0,0
30,488781,100,28,241181581159710,38,38,0,0
31,504172,100,23,133430170881648,38,38,0,0
32,519563,138,5,23943288779674,45,40,0,0
33,534954,144,7,41076327664598,36,32,0,0
34,550345,144,17,212554576465861,30,24,0,0
35,565736,144,2,1819655156304,33,33,0,0
36,581127,144,1,955950112363,35,35,0,0
37,596518,144,0,0,35,34,0,0
38,611909,145,0,0,34,34,0,0
39,627300,147,2,24530289362279,33,33,0,0
40,642691,148,0,0,34,32,0,0
41,658082,151,3,4581294628428,24,24,0,0
42,673473,151,5,3282487282160,25,23,0,0
43,688864,151,0,0,24,19,0,0
44,704255,152,0,0,23,23,0,0
45,719646,157,3,44847706504566,23,23,0,0
46,735037,158,0,0,22,19,0,0
47,750428,160,0,0,17,17,0,0
48,765819,171,1,5635225710703,19,19,0,0
49,781210,173,0,0,20,19,0,0
50,796601,173,0,0,22,22,0,0
51,811992,176,0,0,20,20,0,0
52,827383,184,0,0,21,21,0,0
53,842774,187,0,0,25,25,0,0
54,858165,188,0,0,24,24,0,0
55,873556,188,0,0,19,19,0,0
56,888947,193,0,0,24,24,0,0
57,904338,196,0,0,26,26,0,0
58,919729,198,0,0,26,26,0,0
59,935120,206,0,0,25,25,0,0
60,950511,210,0,0,26,26,0,0
61,965902,213,1,3384680945306,28,28,0,0
62,981293,217,0,0,25,24,0,0
63,996684,218,0,0,28,28,0,0
64,1012075,219,1,1009449290828,26,26,0,0
65,1027466,221,0,0,30,29,0,0
66,1042857,232,2,208663008983,24,24,0,0
67,1058248,259,1,283594542166,25,23,0,0
68,1073639,283,2,527605331185,25,25,0,0
69,1089030,311,0,0,31,30,0,0
70,1104421,330,3,377702184262,35,35,0,0
71,1119812,367,1,41054786596,33,30,0,0
72,1135203,396,1,1938883856956,42,41,0,0
73,1150594,423,4,680957880669,38,37,0,0
74,1165985,463,1,314345153096,42,39,0,0
75,1181376,494,1,84809851882,46,46,0,0
76,1196767,570,0,0,51,51,0,0
77,1212158,619,4,1755263219549,62,62,0,0
78,1227549,663,3,29621807256771,75,72,0,0
79,1242940,725,7,7434672629434,83,80,0,0
80,1258331,775,5,17857998379606,82,75,0,0
81,1273722,905,7,5987601915460,97,92,0,0
82,1289113,975,7,1362403682953,140,130,0,0
83,1304504,1064,6,22382258202644,152,146,0,0
84,1319895,1153,3,1680596765803,126,120,0,0
85,1335286,1259,16,12267989836683,178,174,0,0
86,1350677,1389,5,1204060205895,201,180,0,0
87,1366068,1468,10,9413778997422,293,287,0,0
88,1381459,1560,13,3065642039124,353,344,0,0
89,1396850,1715,16,5494233632716,403,395,0,0
90,1412241,457,14,1094725634448,440,423,0,0
91,1427632,444,6,958116066749,426,411,0,0
92,1443023,436,5,4362291022594,420,406,0,0
93,1458414,439,11,2140534037009,423,411,0,0
94,1473805,415,3,89641007213,405,390,0,0
95,1489196,453,10,399007617573,420,412,0,0
96,1504587,425,1,6610405256586,427,406,0,0
97,1519978,415,6,8125070579633,419,400,1,8432384134
98,1535369,419,4,609742520001,412,398,0,0
99,1550760,448,3,1235469762567,425,418,0,0
100,1566151,439,2,293423567403,438,416,0,0
101,1581542,453,2,511091290108,447,442,0,0
102,1596933,456,4,82909570326,439,433,0,0
103,1612324,462,7,641959792266,463,445,0,0
104,1627715,461,1,1805104362,460,442,0,0
105,1643106,477,5,1153728404211,482,463,0,0
106,1658497,465,9,1025664079592,468,449,0,0
107,1673888,468,9,2725489475305,482,446,0,0
108,1689279,486,13,1060161651821,488,456,0,0
109,1704670,488,4,226594999060,487,445,0,0
110,1720061,499,2,136976710256,501,481,0,0
111,1735452,545,7,248101191284,534,525,0,0
112,1750843,573,6,731602580169,563,552,1,7993576578
113,1766234,535,5,972228009273,529,509,0,0
114,1781625,559,7,1067283037615,542,519,0,0
115,1797016,586,10,1647876660485,569,550,0,0
116,1812407,594,57,2751905731625,557,544,15,1037343139724
117,1827798,653,55,20500352273779,613,598,0,0
118,1843189,602,4,347424534137,561,507,0,0
119,1858580,609,7,574511178372,591,587,0,0
120,1873971,622,2,29397086106,578,568,0,0
121,1889362,646,3,463822798860,580,578,0,0
122,1904753,640,10,345172873404,571,567,0,0
123,1920144,625,4,834147616908,524,513,0,0
124,1935535,572,7,578057347316,464,438,0,0
125,1950926,548,5,126355376867,485,478,0,0
126,1966317,564,4,58483019996,540,536,0,0
127,1981708,582,10,7491451452882,542,538,0,0
128,1997099,617,6,217495501227,587,581,0,0
129,2012490,597,7,218739570224,534,527,1,7470360710
130,2027881,600,2,4387337692708,541,536,0,0
131,2043272,597,2,225496197410,558,544,0,0
132,2058663,613,31,5776580606544,523,518,1,14096689777
133,2074054,624,12,20678803640169,509,485,0,0
134,2089445,510,4,141464020193,474,462,0,0
135,2104836,534,6,207097974410,497,495,0,0
136,2120227,542,6,201918568617,504,501,0,0
137,2135618,539,5,66230109701,499,495,0,0
138,2151009,539,2,332324039605,389,384,0,0
139,2166400,442,0,0,377,375,0,0
140,2181791,405,4,1607115785941,379,379,0,0
141,2197182,401,6,112952581550,371,369,0,0
142,2212573,403,15,3438565419854,354,350,0,0
143,2227964,381,5,2122399992007,349,334,0,0
144,2243355,374,5,876957403688,348,344,0,0
145,2258746,378,6,1594066125216,317,314,0,0
146,2274137,341,7,1027126809672,288,276,0,0
147,2289528,313,3,1743902030790,262,257,0,0
148,2304919,308,1,8947769946,273,272,0,0
149,2320310,308,2,26298082038,287,287,0,0
150,2335701,312,4,2285602187692,281,280,0,0
151,2351092,277,3,2896311769832,259,256,0,0
152,2366483,312,3,2505242692969,293,292,0,0
153,2381874,317,3,177845090011,288,286,0,0
154,2397265,308,10,2130200098129,308,306,0,0
155,2412656,236,0,0,214,204,0,0
156,2428047,268,2,52932085037,247,247,0,0
157,2443438,282,2,279907540518,249,247,0,0
158,2459189,280,21,14225669287686,164,163,0,0
159,2474580,121,0,0,127,106,0,0
160,2489971,124,0,0,117,117,0,0
161,2505362,150,1,388101757382,145,145,0,0
162,2520753,156,1,185003335318,149,148,0,0
163,2536144,162,1,164476450743,154,154,0,0
164,2551535,166,4,1397943779928,160,159,0,0
165,2566926,170,0,0,162,158,0,0
166,2582317,166,0,0,153,151,0,0
167,2597708,165,0,0,151,150,0,0
168,2613099,175,2,400803018087,162,162,0,0
169,2628490,187,12,8583703407996,174,172,0,0
170,2643881,185,1,153562176807,156,144,0,0
171,2659272,196,0,0,177,175,0,0
172,2674663,194,0,0,169,169,0,0
173,2690054,193,0,0,175,175,0,0
174,2705445,192,0,0,170,170,0,0
175,2720571,197,4,25226348372300,182,182,0,0
176,2735962,184,0,0,144,132,0,0
177,2751353,183,0,0,151,150,0,0
178,2766744,169,1,477087484852,148,147,0,0
179,2782135,149,0,0,133,121,0,0
180,2797526,154,0,0,125,125,0,0
181,2812917,128,0,0,105,102,0,0
182,2828308,123,0,0,118,114,0,0
183,2843699,129,0,0,112,110,0,0
184,2859090,128,0,0,113,112,0,0
185,2874481,123,4,6434357104439,121,120,0,0
186,2889872,133,0,0,118,110,0,0
187,2905263,129,0,0,105,103,0,0
188,2920654,126,0,0,104,96,0,0
189,2936045,109,1,757333519388,96,95,0,0
190,2951436,110,0,0,102,101,0,0
191,2966827,116,0,0,106,106,0,0
192,2982218,111,0,0,102,100,0,0
193,2997609,112,0,0,101,100,0,0
194,3013000,115,1,258507716315,99,99,0,0
195,3028391,113,0,0,98,97,0,0
196,3043782,109,1,839409926420,93,93,0,0
197,3059173,132,3,20111299072383,102,100,0,0
198,3074564,122,1,946926563280,110,106,0,0
199,3089955,121,0,0,111,111,0,0
200,3105346,146,0,0,132,132,0,0
201,3120737,152,0,0,140,140,0,0
202,3136128,178,0,0,163,163,0,0
203,3151519,125,0,0,105,104,0,0
204,3166910,130,2,550614856644,117,108,0,0
205,3182301,132,0,0,103,101,0,0
206,3197692,123,0,0,98,98,0,0
207,3213083,118,0,0,92,92,0,0
208,3228474,125,0,0,100,99,0,0
209,3243865,121,0,0,96,96,0,0
210,3259256,113,0,0,86,86,0,0
211,3274647,122,0,0,85,85,0,0
212,3290038,127,0,0,105,105,0,0
213,3305429,118,0,0,103,103,0,0
214,3320820,134,0,0,114,113,0,0
215,3336211,136,0,0,105,105,0,0
216,3351602,130,0,0,108,108,0,0
217,3366993,126,0,0,83,83,0,0
218,3382384,105,0,0,92,91,0,0
219,3397775,107,0,0,97,96,0,0
220,3413166,115,0,0,97,96,0,0
221,3428557,128,0,0,108,108,0,0
222,3443948,131,0,0,113,112,0,0
223,3459339,129,0,0,109,109,0,0
224,3474730,128,0,0,114,114,0,0
225,3490121,138,1,328154274666,111,109,0,0
226,3505512,136,1,1148389349499,101,100,0,0
227,3520903,117,0,0,102,100,0,0
228,3536294,132,0,0,114,114,0,0
229,3551685,141,0,0,108,108,0,0
230,3567076,130,2,750416052037,109,109,0,0
231,3582467,152,0,0,122,120,0,0
232,3597858,150,0,0,109,109,0,0
233,3613249,148,0,0,131,131,0,0
234,3628640,143,0,0,122,122,0,0
235,3644031,152,0,0,120,120,0,0
236,3659422,154,0,0,124,124,0,0
237,3674813,154,0,0,136,135,0,0
238,3690204,164,0,0,134,133,0,0
239,3705595,161,0,0,128,128,0,0
240,3720986,160,0,0,131,131,0,0
241,3736377,150,0,0,122,122,0,0
242,3751768,144,0,0,125,125,0,0
243,3767159,156,0,0,129,128,0,0
244,3782550,151,0,0,133,133,0,0
245,3797941,131,1,385988214864,110,109,0,0
246,3813332,129,0,0,110,108,0,0
247,3828723,118,0,0,93,92,0,0
248,3844114,95,0,0,51,51,0,0
249,3859505,81,0,0,55,55,0,0
250,3874896,71,0,0,53,53,0,0
251,3890287,59,0,0,49,49,0,0
252,3905678,72,0,0,67,67,0,0
253,3921069,57,0,0,54,54,0,0
254,3936460,67,0,0,48,48,0,0
255,3951851,59,0,0,54,54,0,0
256,3967242,58,0,0,54,54,0,0
257,3982633,59,0,0,56,56,0,0
258,3998024,61,0,0,54,54,0,0
259,4013415,55,0,0,53,53,0,0
260,4028806,56,0,0,47,47,0,0
261,4044197,54,0,0,48,48,0,0
262,4059588,54,0,0,54,54,0,0
263,4074979,55,0,0,48,48,0,0
264,4090370,55,2,2804142495699,51,51,0,0
265,4105761,53,1,481517297728,39,37,0,0
266,4121152,48,0,0,39,38,0,0
267,4136543,51,0,0,48,48,0,0
268,4151934,58,0,0,44,44,0,0
269,4167325,58,0,0,47,47,0,0
270,4182716,49,0,0,44,44,0,0
271,4198107,49,0,0,42,42,0,0
272,4213498,50,0,0,43,43,0,0
273,4228889,61,0,0,50,50,0,0
274,4244280,55,0,0,40,40,0,0
