event_sequence,trigger_height,participant,model_label,model_id,submitted_count,validator_count,valid_weight,invalid_weight,total_network_weight,valid_weight_ratio,guardian_valid,guardian_invalid,guardian_no_vote,pass_by_weight,pass_by_guardian,result,validators
0,4122271,gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,0,0,0,0,541415,0.000000,0,0,3,False,False,no_submission,
0,4122271,gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,Kimi,moonshotai/Kimi-K2.6,52864,22,321364,0,541415,0.593563,3,0,0,False,True,pass_guardian,gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09;gonka125n6kr5gvdup0lndfkps7t6rd6592panhrg3np;gonka14g78ez2zy08k8sssue483zmfpgd4qut8zcwlqc;gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5;gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu;gonka18xeqnspxpg2vncufnjne485rkaagwvz7whyn0d;gonka19ghzvgfr065s3fr5awuvs3nhy9fq4n7wrr9kel;gonka1c6fwzedfsmpu4jnjekv4cn7mvr7x7fuqd6uqt9;gonka1dkl4mah5erqggvhqkpc8j3qs5tyuetgdy552cp;gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e;gonka1j7x6dv42xehe9e5au4ku3wvzwtqlegfjhlvzj6;gonka1jrgm47v5eg876udmzg6j6glqcsd5x0vk6crpax;gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5;gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg;gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv;gonka1tl5m3vuqsx333v7095ymwjdc4vdk2wd9r5hqws;gonka1ujnc662v6g69jm6fgxnr79a2m7ehzeut059239;gonka1wkgawwdzj623ss8eywayzdj6qcgr2llygactje;gonka1wthc28t25pg63hzvl07rl8e8r6km6hesl6jhsz;gonka1xwkesaxvdadh9wt9yyladu0r260s7whklcktds;gonka1y2a9p56kv044327uycmqdexl7zs82fs5ryv5le;gonka1yal0ysgzc860zt3y8cds8656tnueusgymftvkw
0,4122271,gonka125n6kr5gvdup0lndfkps7t6rd6592panhrg3np,Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,0,0,0,0,541415,0.000000,0,0,3,False,False,no_submission,
0,4122271,gonka125n6kr5gvdup0lndfkps7t6rd6592panhrg3np,Kimi,moonshotai/Kimi-K2.6,19424,22,321364,0,541415,0.593563,3,0,0,False,True,pass_guardian,gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09;gonka125n6kr5gvdup0lndfkps7t6rd6592panhrg3np;gonka14g78ez2zy08k8sssue483zmfpgd4qut8zcwlqc;gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5;gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu;gonka18xeqnspxpg2vncufnjne485rkaagwvz7whyn0d;gonka19ghzvgfr065s3fr5awuvs3nhy9fq4n7wrr9kel;gonka1c6fwzedfsmpu4jnjekv4cn7mvr7x7fuqd6uqt9;gonka1dkl4mah5erqggvhqkpc8j3qs5tyuetgdy552cp;gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e;gonka1j7x6dv42xehe9e5au4ku3wvzwtqlegfjhlvzj6;gonka1jrgm47v5eg876udmzg6j6glqcsd5x0vk6crpax;gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5;gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg;gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv;gonka1tl5m3vuqsx333v7095ymwjdc4vdk2wd9r5hqws;gonka1ujnc662v6g69jm6fgxnr79a2m7ehzeut059239;gonka1wkgawwdzj623ss8eywayzdj6qcgr2llygactje;gonka1wthc28t25pg63hzvl07rl8e8r6km6hesl6jhsz;gonka1xwkesaxvdadh9wt9yyladu0r260s7whklcktds;gonka1y2a9p56kv044327uycmqdexl7zs82fs5ryv5le;gonka1yal0ysgzc860zt3y8cds8656tnueusgymftvkw
0,4122271,gonka12pcu9mcrpa4w4sjd9y3dsksnvu495ss6f9r4ra,Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,33984,19,439050,442,541415,0.810931,3,0,0,True,False,pass_weight,gonka17gpuntq09zsaqtmpe544gc32tk4424dwv5t34f;gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu;gonka19ghzvgfr065s3fr5awuvs3nhy9fq4n7wrr9kel;gonka1cuwejs77gectp3n32wg8q27hlsa4m3hqspf4ww;gonka1d694r00czmq75txghwjcuk07lxvc8d4ekgsha0;gonka1dkl4mah5erqggvhqkpc8j3qs5tyuetgdy552cp;gonka1duuaqdx06sx8v2dzggltwwmqyuw8lvjkjq7xll;gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e;gonka1hwvel7n3zuk6wruefuzc356l9myske9stckwnz;gonka1j7x6dv42xehe9e5au4ku3wvzwtqlegfjhlvzj6;gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5;gonka1qu9mna5xlvlnw9455ygtjq92wuzkzm237w8l08;gonka1rcpc45n6zch9qlkn4m3cwngekad89xu8mcr09v;gonka1tja3g2da45efhe2p83gk3whtussmgmtsdlgprt;gonka1u4zxypjgcr8khlzefwjr0vwdaj2uzruw2cehj3;gonka1wthc28t25pg63hzvl07rl8e8r6km6hesl6jhsz;gonka1x7zh2277spp7jfqjhv0g5mnezg290xdr4kpfnk;gonka1y2a9p56kv044327uycmqdexl7zs82fs5ryv5le;gonka1zktn8j65wlys8a8e38hqhf4y3x6m4x04zskkrx
0,4122271,gonka12pcu9mcrpa4w4sjd9y3dsksnvu495ss6f9r4ra,Kimi,moonshotai/Kimi-K2.6,0,0,0,0,541415,0.000000,0,0,3,False,False,no_submission,
0,4122271,gonka14g78ez2zy08k8sssue483zmfpgd4qut8zcwlqc,Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,0,0,0,0,541415,0.000000,0,0,3,False,False,no_submission,
0,4122271,gonka14g78ez2zy08k8sssue483zmfpgd4qut8zcwlqc,Kimi,moonshotai/Kimi-K2.6,5984,22,321364,0,541415,0.593563,3,0,0,False,True,pass_guardian,gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09;gonka125n6kr5gvdup0lndfkps7t6rd6592panhrg3np;gonka14g78ez2zy08k8sssue483zmfpgd4qut8zcwlqc;gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5;gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu;gonka18xeqnspxpg2vncufnjne485rkaagwvz7whyn0d;gonka19ghzvgfr065s3fr5awuvs3nhy9fq4n7wrr9kel;gonka1c6fwzedfsmpu4jnjekv4cn7mvr7x7fuqd6uqt9;gonka1dkl4mah5erqggvhqkpc8j3qs5tyuetgdy552cp;gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e;gonka1j7x6dv42xehe9e5au4ku3wvzwtqlegfjhlvzj6;gonka1jrgm47v5eg876udmzg6j6glqcsd5x0vk6crpax;gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5;gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg;gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv;gonka1tl5m3vuqsx333v7095ymwjdc4vdk2wd9r5hqws;gonka1ujnc662v6g69jm6fgxnr79a2m7ehzeut059239;gonka1wkgawwdzj623ss8eywayzdj6qcgr2llygactje;gonka1wthc28t25pg63hzvl07rl8e8r6km6hesl6jhsz;gonka1xwkesaxvdadh9wt9yyladu0r260s7whklcktds;gonka1y2a9p56kv044327uycmqdexl7zs82fs5ryv5le;gonka1yal0ysgzc860zt3y8cds8656tnueusgymftvkw
0,4122271,gonka14tqh62mangwzrma2lgg2dm375rcjzn2ydy8ttm,Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,0,0,0,0,541415,0.000000,0,0,3,False,False,no_submission,
0,4122271,gonka14tqh62mangwzrma2lgg2dm375rcjzn2ydy8ttm,Kimi,moonshotai/Kimi-K2.6,0,0,0,0,541415,0.000000,0,0,3,False,False,no_submission,
0,4122271,gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5,Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,0,0,0,0,541415,0.000000,0,0,3,False,False,no_submission,
0,4122271,gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5,Kimi,moonshotai/Kimi-K2.6,12928,22,321364,0,541415,0.593563,3,0,0,False,True,pass_guardian,gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09;gonka125n6kr5gvdup0lndfkps7t6rd6592panhrg3np;gonka14g78ez2zy08k8sssue483zmfpgd4qut8zcwlqc;gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5;gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu;gonka18xeqnspxpg2vncufnjne485rkaagwvz7whyn0d;gonka19ghzvgfr065s3fr5awuvs3nhy9fq4n7wrr9kel;gonka1c6fwzedfsmpu4jnjekv4cn7mvr7x7fuqd6uqt9;gonka1dkl4mah5erqggvhqkpc8j3qs5tyuetgdy552cp;gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e;gonka1j7x6dv42xehe9e5au4ku3wvzwtqlegfjhlvzj6;gonka1jrgm47v5eg876udmzg6j6glqcsd5x0vk6crpax;gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5;gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg;gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv;gonka1tl5m3vuqsx333v7095ymwjdc4vdk2wd9r5hqws;gonka1ujnc662v6g69jm6fgxnr79a2m7ehzeut059239;gonka1wkgawwdzj623ss8eywayzdj6qcgr2llygactje;gonka1wthc28t25pg63hzvl07rl8e8r6km6hesl6jhsz;gonka1xwkesaxvdadh9wt9yyladu0r260s7whklcktds;gonka1y2a9p56kv044327uycmqdexl7zs82fs5ryv5le;gonka1yal0ysgzc860zt3y8cds8656tnueusgymftvkw
0,4122271,gonka15p7s7w2hx0y8095lddd4ummm2y0kwpwljk00aq,Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,0,0,0,0,541415,0.000000,0,0,3,False,False,no_submission,
0,4122271,gonka15p7s7w2hx0y8095lddd4ummm2y0kwpwljk00aq,Kimi,moonshotai/Kimi-K2.6,0,0,0,0,541415,0.000000,0,0,3,False,False,no_submission,
0,4122271,gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2,Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,0,0,0,0,541415,0.000000,0,0,3,False,False,no_submission,
0,4122271,gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2,Kimi,moonshotai/Kimi-K2.6,0,0,0,0,541415,0.000000,0,0,3,False,False,no_submission,
0,4122271,gonka17gpuntq09zsaqtmpe544gc32tk4424dwv5t34f,Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,102208,20,482515,442,541415,0.891211,3,0,0,True,False,pass_weight,gonka12pcu9mcrpa4w4sjd9y3dsksnvu495ss6f9r4ra;gonka17gpuntq09zsaqtmpe544gc32tk4424dwv5t34f;gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu;gonka19ghzvgfr065s3fr5awuvs3nhy9fq4n7wrr9kel;gonka1cuwejs77gectp3n32wg8q27hlsa4m3hqspf4ww;gonka1d694r00czmq75txghwjcuk07lxvc8d4ekgsha0;gonka1dkl4mah5erqggvhqkpc8j3qs5tyuetgdy552cp;gonka1duuaqdx06sx8v2dzggltwwmqyuw8lvjkjq7xll;gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e;gonka1hwvel7n3zuk6wruefuzc356l9myske9stckwnz;gonka1j7x6dv42xehe9e5au4ku3wvzwtqlegfjhlvzj6;gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5;gonka1qu9mna5xlvlnw9455ygtjq92wuzkzm237w8l08;gonka1rcpc45n6zch9qlkn4m3cwngekad89xu8mcr09v;gonka1tja3g2da45efhe2p83gk3whtussmgmtsdlgprt;gonka1u4zxypjgcr8khlzefwjr0vwdaj2uzruw2cehj3;gonka1wthc28t25pg63hzvl07rl8e8r6km6hesl6jhsz;gonka1x7zh2277spp7jfqjhv0g5mnezg290xdr4kpfnk;gonka1y2a9p56kv044327uycmqdexl7zs82fs5ryv5le;gonka1zktn8j65wlys8a8e38hqhf4y3x6m4x04zskkrx
0,4122271,gonka17gpuntq09zsaqtmpe544gc32tk4424dwv5t34f,Kimi,moonshotai/Kimi-K2.6,0,0,0,0,541415,0.000000,0,0,3,False,False,no_submission,
0,4122271,gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu,Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,59232,20,482515,442,541415,0.891211,3,0,0,True,False,pass_weight,gonka12pcu9mcrpa4w4sjd9y3dsksnvu495ss6f9r4ra;gonka17gpuntq09zsaqtmpe544gc32tk4424dwv5t34f;gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu;gonka19ghzvgfr065s3fr5awuvs3nhy9fq4n7wrr9kel;gonka1cuwejs77gectp3n32wg8q27hlsa4m3hqspf4ww;gonka1d694r00czmq75txghwjcuk07lxvc8d4ekgsha0;gonka1dkl4mah5erqggvhqkpc8j3qs5tyuetgdy552cp;gonka1duuaqdx06sx8v2dzggltwwmqyuw8lvjkjq7xll;gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e;gonka1hwvel7n3zuk6wruefuzc356l9myske9stckwnz;gonka1j7x6dv42xehe9e5au4ku3wvzwtqlegfjhlvzj6;gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5;gonka1qu9mna5xlvlnw9455ygtjq92wuzkzm237w8l08;gonka1rcpc45n6zch9qlkn4m3cwngekad89xu8mcr09v;gonka1tja3g2da45efhe2p83gk3whtussmgmtsdlgprt;gonka1u4zxypjgcr8khlzefwjr0vwdaj2uzruw2cehj3;gonka1wthc28t25pg63hzvl07rl8e8r6km6hesl6jhsz;gonka1x7zh2277spp7jfqjhv0g5mnezg290xdr4kpfnk;gonka1y2a9p56kv044327uycmqdexl7zs82fs5ryv5le;gonka1zktn8j65wlys8a8e38hqhf4y3x6m4x04zskkrx
0,4122271,gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu,Kimi,moonshotai/Kimi-K2.6,126151,21,321364,0,541415,0.593563,2,0,1,False,True,pass_guardian,gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09;gonka125n6kr5gvdup0lndfkps7t6rd6592panhrg3np;gonka14g78ez2zy08k8sssue483zmfpgd4qut8zcwlqc;gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5;gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu;gonka18xeqnspxpg2vncufnjne485rkaagwvz7whyn0d;gonka19ghzvgfr065s3fr5awuvs3nhy9fq4n7wrr9kel;gonka1c6fwzedfsmpu4jnjekv4cn7mvr7x7fuqd6uqt9;gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e;gonka1j7x6dv42xehe9e5au4ku3wvzwtqlegfjhlvzj6;gonka1jrgm47v5eg876udmzg6j6glqcsd5x0vk6crpax;gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5;gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg;gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv;gonka1tl5m3vuqsx333v7095ymwjdc4vdk2wd9r5hqws;gonka1ujnc662v6g69jm6fgxnr79a2m7ehzeut059239;gonka1wkgawwdzj623ss8eywayzdj6qcgr2llygactje;gonka1wthc28t25pg63hzvl07rl8e8r6km6hesl6jhsz;gonka1xwkesaxvdadh9wt9yyladu0r260s7whklcktds;gonka1y2a9p56kv044327uycmqdexl7zs82fs5ryv5le;gonka1yal0ysgzc860zt3y8cds8656tnueusgymftvkw
