model_label,model_id,participant,model_weight_field,model_voting_power,share_of_root_total_percent,preserved,preserved_nodes
Kimi,moonshotai/Kimi-K2.6,gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu,136007,189884,21.0008,True,4B200-spt-kimi-1
Kimi,moonshotai/Kimi-K2.6,gonka1famtxh54kad6ylwtm60j6d7h6unpc08d4vdqnk,1068,96900,10.7169,True,U11
Kimi,moonshotai/Kimi-K2.6,gonka17gpuntq09zsaqtmpe544gc32tk4424dwv5t34f,1042,46242,5.1143,True,B9
Kimi,moonshotai/Kimi-K2.6,gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2,9492,13883,1.5354,True,mlnode-201
Kimi,moonshotai/Kimi-K2.6,gonka1mmlyd5xxu5l68yx8wzclrkxkxvm88mhq5tp5s0,6000,7194,0.7956,True,node606
Kimi,moonshotai/Kimi-K2.6,gonka1tl5m3vuqsx333v7095ymwjdc4vdk2wd9r5hqws,5914,7090,0.7841,True,node605
Kimi,moonshotai/Kimi-K2.6,gonka19cjm4c5mt3j3qdr8vhytmm4hef3pnkvkm0x7m2,5886,7057,0.7805,True,node218
Kimi,moonshotai/Kimi-K2.6,gonka125n6kr5gvdup0lndfkps7t6rd6592panhrg3np,5597,6710,0.7421,True,node481
Kimi,moonshotai/Kimi-K2.6,gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5,2580,5411,0.5984,True,node2-4xB200
Kimi,moonshotai/Kimi-K2.6,gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,72507,147538,16.3174,False,
Kimi,moonshotai/Kimi-K2.6,gonka1y2a9p56kv044327uycmqdexl7zs82fs5ryv5le,865,141664,15.6677,False,
Kimi,moonshotai/Kimi-K2.6,gonka1j7x6dv42xehe9e5au4ku3wvzwtqlegfjhlvzj6,52279,66311,7.3339,False,
Kimi,moonshotai/Kimi-K2.6,gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5,22160,33800,3.7382,False,
Kimi,moonshotai/Kimi-K2.6,gonka18xeqnspxpg2vncufnjne485rkaagwvz7whyn0d,11913,14284,1.5798,False,
Kimi,moonshotai/Kimi-K2.6,gonka1830lqug50lse998x2lakk4pj5ypfumz5pasz0y,11252,13490,1.4920,False,
Kimi,moonshotai/Kimi-K2.6,gonka1wt8sr9jxzpec65j7zkxsgh6edk3m6r8nlf5za4,11569,12411,1.3726,False,
Kimi,moonshotai/Kimi-K2.6,gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e,5912,11773,1.3021,False,
Kimi,moonshotai/Kimi-K2.6,gonka1ujnc662v6g69jm6fgxnr79a2m7ehzeut059239,6116,10081,1.1149,False,
Kimi,moonshotai/Kimi-K2.6,gonka1wkgawwdzj623ss8eywayzdj6qcgr2llygactje,6059,7264,0.8034,False,
Kimi,moonshotai/Kimi-K2.6,gonka15p7s7w2hx0y8095lddd4ummm2y0kwpwljk00aq,3058,3667,0.4056,False,
Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,gonka1tja3g2da45efhe2p83gk3whtussmgmtsdlgprt,61863,115425,12.7658,True,at003;at009
Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e,2769,74862,8.2796,True,node207
Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5,16235,33800,3.7382,True,ml3
Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,gonka1hwvel7n3zuk6wruefuzc356l9myske9stckwnz,53883,18392,2.0341,True,fp002
Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,gonka187tn9y92ur6tu0zf69u94hwl0q77m47y0k36hv,33180,10133,1.1207,True,ice-2;ice-5
Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,gonka1ujnc662v6g69jm6fgxnr79a2m7ehzeut059239,6578,10081,1.1149,True,node100-2
Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,gonka1y2a9p56kv044327uycmqdexl7zs82fs5ryv5le,2841,9126,1.0093,True,node-235b
Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,gonka12pcu9mcrpa4w4sjd9y3dsksnvu495ss6f9r4ra,26514,9050,1.0009,True,node10;node8
Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,gonka1zsvl7ujlc8z3a35v2q6e3nml7ftyk23v76jqgl,18551,5666,0.6266,True,node-1;node-2
Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5,6000,5411,0.5984,True,node1
Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,gonka1d7p03cu2y2yt3vytq9wlfm6tlz0lfhlgv9h82p,1764,4461,0.4934,True,node1
Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,gonka1rcpc45n6zch9qlkn4m3cwngekad89xu8mcr09v,13601,4154,0.4594,True,node-1;node-101
Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,gonka1tlvg4kjx7ljd5thgd5fkgh39q6lu8cmxupktgg,5770,1970,0.2179,True,node1
Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,gonka1u4zxypjgcr8khlzefwjr0vwdaj2uzruw2cehj3,5857,1789,0.1979,True,node1
Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,gonka19f9hkpmjaldncsfly4j63sy932y8hughn4l3d8,5250,1604,0.1774,True,node1;node2
Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,gonka1qnj39ysxpzknvrr5dw9rdl7cx5q7dpkwerryrs,2882,880,0.0973,True,node-ML
Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,gonka1x7zh2277spp7jfqjhv0g5mnezg290xdr4kpfnk,2712,828,0.0916,True,node1
Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,gonka1p2lhgng7tcqju7emk989s5fpdr7k2c3ek6h26m,1731,590,0.0653,True,node2
Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,gonka1vjz8csqsr0ph0lv0yylc4auypnzrld7y6l2feu,1652,564,0.0624,True,U18
Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,gonka1qwfrtz9c7kcrfkrrlne2pkcye74mj6ce33xdkl,1764,539,0.0596,True,node1
Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,gonka1gyk0aahvr3qeju4zx0nplfreej6cy4jjk8svc5,1014,346,0.0383,True,node1
Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu,50745,189884,21.0008,False,
Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,gonka1duuaqdx06sx8v2dzggltwwmqyuw8lvjkjq7xll,377497,128853,14.2509,False,
Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,gonka1famtxh54kad6ylwtm60j6d7h6unpc08d4vdqnk,265943,96900,10.7169,False,
Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,gonka1j7x6dv42xehe9e5au4ku3wvzwtqlegfjhlvzj6,923,66311,7.3339,False,
Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,gonka17gpuntq09zsaqtmpe544gc32tk4424dwv5t34f,105138,39448,4.3629,False,
Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,gonka1myu058axjs62mc3e7na9krwvqpfl9z3gtcw9es,43169,13184,1.4581,False,
Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2,1275,12499,1.3824,False,
Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,gonka1zktn8j65wlys8a8e38hqhf4y3x6m4x04zskkrx,37016,11305,1.2503,False,
Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,22620,6908,0.7640,False,
Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,gonka19ghzvgfr065s3fr5awuvs3nhy9fq4n7wrr9kel,19904,6794,0.7514,False,
Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,gonka14tqh62mangwzrma2lgg2dm375rcjzn2ydy8ttm,5655,1727,0.1910,False,
Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,gonka1wthc28t25pg63hzvl07rl8e8r6km6hesl6jhsz,4097,1252,0.1385,False,
Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,gonka1fvly5jrewyjmjfgwah3khy9rttq4cqajcesv9p,3606,1231,0.1361,False,
Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,gonka1tmk2tzdneht6smu34pkmqdvu7p34qavvmwtwq2,3294,1124,0.1243,False,
Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,gonka1dkl4mah5erqggvhqkpc8j3qs5tyuetgdy552cp,3247,1108,0.1225,False,
Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,gonka1cuwejs77gectp3n32wg8q27hlsa4m3hqspf4ww,3491,1066,0.1179,False,
Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,gonka1uf5cg7ef0ns6877nl27y0s6rt06cdmn40k5a88,2712,926,0.1024,False,
Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,gonka1amlmhjym02shahjv8ldmupg4cx0qc66q6f85rj,2539,776,0.0858,False,
Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,gonka1w29nvdy6caqtrw30whz9h6ghl0xszwh3egndah,1327,405,0.0448,False,
Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,gonka1d694r00czmq75txghwjcuk07lxvc8d4ekgsha0,1290,394,0.0436,False,
