participant,root_weight,confirmation_weight,qwen_voting_power,kimi_voting_power,rewarded_coins,claimed,exclusion_reason,exclusion_block_height
gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,24721,57624,24721,24721,11328327247983,True,,
gonka125n6kr5gvdup0lndfkps7t6rd6592panhrg3np,5866,14024,0,5866,2056828004924,True,,
gonka12pcu9mcrpa4w4sjd9y3dsksnvu495ss6f9r4ra,13120,11087,43465,0,5829256669376,True,,
gonka14g78ez2zy08k8sssue483zmfpgd4qut8zcwlqc,1958,6863,0,1958,1006331493207,True,,
gonka14tqh62mangwzrma2lgg2dm375rcjzn2ydy8ttm,1768,2017,1768,0,901176687229,True,,
gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5,9647,19294,0,9647,2829715828861,True,,
gonka15p7s7w2hx0y8095lddd4ummm2y0kwpwljk00aq,1087,3896,0,1087,571516370489,True,,
gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2,5403,15231,15050,7068,2835499343190,True,,
gonka17gpuntq09zsaqtmpe544gc32tk4424dwv5t34f,43633,32720,43633,159432,17203326257960,True,,
gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu,63749,162116,63749,63749,31872947465887,True,,
gonka1830lqug50lse998x2lakk4pj5ypfumz5pasz0y,4050,14520,0,4050,2129384821049,True,,
gonka18xeqnspxpg2vncufnjne485rkaagwvz7whyn0d,1958,7020,0,1958,1029465550522,True,,
gonka19cjm4c5mt3j3qdr8vhytmm4hef3pnkvkm0x7m2,2061,7389,0,2061,1083620275600,True,,
gonka19ghzvgfr065s3fr5awuvs3nhy9fq4n7wrr9kel,7366,5932,7366,0,2962736658423,True,,
gonka1amlmhjym02shahjv8ldmupg4cx0qc66q6f85rj,776,912,776,0,408000647193,True,,
gonka1c6fwzedfsmpu4jnjekv4cn7mvr7x7fuqd6uqt9,3743,13418,0,3743,1967972193873,True,,
gonka1cuwejs77gectp3n32wg8q27hlsa4m3hqspf4ww,1173,1234,1173,0,616732937059,True,,
gonka1d694r00czmq75txghwjcuk07lxvc8d4ekgsha0,442,465,442,0,232392121210,True,,
gonka1d7p03cu2y2yt3vytq9wlfm6tlz0lfhlgv9h82p,633,606,1720,0,318619062112,True,,
gonka1dkl4mah5erqggvhqkpc8j3qs5tyuetgdy552cp,1114,1146,1114,0,572567918548,True,,
gonka1duuaqdx06sx8v2dzggltwwmqyuw8lvjkjq7xll,127053,131306,130796,0,65687578424154,True,,
gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e,5330,8445,41046,5330,2795014742888,True,,
gonka1fvly5jrewyjmjfgwah3khy9rttq4cqajcesv9p,1273,1168,1273,0,583083399146,True,,
gonka1gyk0aahvr3qeju4zx0nplfreej6cy4jjk8svc5,358,360,358,0,179814718221,True,,
gonka1hwvel7n3zuk6wruefuzc356l9myske9stckwnz,17309,18219,17309,0,9100622683344,True,,
gonka1j7x6dv42xehe9e5au4ku3wvzwtqlegfjhlvzj6,19518,343,19518,19518,0,False,failed_confirmation_poc,4122552
gonka1jrgm47v5eg876udmzg6j6glqcsd5x0vk6crpax,12286,37187,0,12286,5453854012036,True,,
gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5,3083,5373,3083,3083,1614126271758,True,,
gonka1mmlyd5xxu5l68yx8wzclrkxkxvm88mhq5tp5s0,2153,7720,0,2153,1131991486350,True,,
gonka1p2lhgng7tcqju7emk989s5fpdr7k2c3ek6h26m,590,615,590,0,307052033455,True,,
gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,27560,83033,0,84957,13590732898594,True,,
gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv,18059,64738,0,18059,9494953205761,True,,
gonka1qu9mna5xlvlnw9455ygtjq92wuzkzm237w8l08,1075,1921,1075,0,560475115861,True,,
gonka1qwfrtz9c7kcrfkrrlne2pkcye74mj6ce33xdkl,528,541,528,0,241330279718,True,,
gonka1rcpc45n6zch9qlkn4m3cwngekad89xu8mcr09v,4068,4785,4068,0,2138848753587,True,,
gonka1tja3g2da45efhe2p83gk3whtussmgmtsdlgprt,21071,20812,48631,0,10942409110045,True,,
gonka1tl5m3vuqsx333v7095ymwjdc4vdk2wd9r5hqws,2010,7205,0,2010,1056805800076,True,,
gonka1tlvg4kjx7ljd5thgd5fkgh39q6lu8cmxupktgg,1969,1879,1969,0,938506643351,True,,
gonka1tmk2tzdneht6smu34pkmqdvu7p34qavvmwtwq2,1124,0,1124,0,0,False,statistical_invalidations,4127009
gonka1u4zxypjgcr8khlzefwjr0vwdaj2uzruw2cehj3,1796,2038,1796,0,911166393797,True,,
gonka1uf5cg7ef0ns6877nl27y0s6rt06cdmn40k5a88,914,962,914,0,480557463318,True,,
gonka1ujnc662v6g69jm6fgxnr79a2m7ehzeut059239,6900,0,0,6900,0,False,failed_confirmation_poc,4133946
gonka1vjz8csqsr0ph0lv0yylc4auypnzrld7y6l2feu,567,583,567,0,291278812558,True,,
gonka1w29nvdy6caqtrw30whz9h6ghl0xszwh3egndah,200,233,200,0,104103257917,True,,
gonka1wkgawwdzj623ss8eywayzdj6qcgr2llygactje,3958,14190,0,3958,2081013610299,True,,
gonka1wthc28t25pg63hzvl07rl8e8r6km6hesl6jhsz,36092,102643,36092,36092,16769036909272,True,,
gonka1x7zh2277spp7jfqjhv0g5mnezg290xdr4kpfnk,839,976,839,0,436392444807,True,,
gonka1xwkesaxvdadh9wt9yyladu0r260s7whklcktds,2031,7198,0,2031,1055754252016,True,,
gonka1y2a9p56kv044327uycmqdexl7zs82fs5ryv5le,2157,4107,2157,5827,1134094582470,True,,
gonka1yal0ysgzc860zt3y8cds8656tnueusgymftvkw,9671,28833,0,9671,4228800522395,True,,
gonka1zktn8j65wlys8a8e38hqhf4y3x6m4x04zskkrx,15605,13242,15605,15605,5243544400080,True,,
