epoch,participant,root_weight,total_network_weight,actual_reward_ngonka,expected_reward_ngonka,loss_ngonka,loss_gonka,claimed,exclusion_height,exclusion_reason,participant_status_at_exclusion,confirmation_ratio,confirmation_ratio_percent,alpha_threshold,ratio_below_alpha,confirmation_weight_before_exclusion,confirmation_weight_at_exclusion,confirmation_weight_delta,event_sequence,event_trigger_height,qwen_submitted_count,qwen_valid_weight,qwen_valid_weight_percent,qwen_result,kimi_submitted_count,kimi_valid_weight,kimi_valid_weight_percent,kimi_result,kimi_preserved_participants,max_single_preserved_kimi_weight,max_single_preserved_kimi_weight_percent,case3_like_signature,signature_reason
263,gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,59872,1045290,0,16335842750922,16335842750922,16335.842750922,False,4073931,failed_confirmation_poc,INACTIVE,0.2727522781407425,27.2752,0.5,True,60077,14895,-45182,0,4073650,0,0,0.0000,no_submission,0,0,0.0000,no_submission,gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09:45173:node2;gonka125n6kr5gvdup0lndfkps7t6rd6592panhrg3np:11782:node484;gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu:136217:4B200-spt-kimi-1;gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e:11891:node217;gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5:5307:node2-4xB200;gonka1mmlyd5xxu5l68yx8wzclrkxkxvm88mhq5tp5s0:14181:node606;gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg:116125:k205;gonka1tl5m3vuqsx333v7095ymwjdc4vdk2wd9r5hqws:5491:node605,136217,13.0315,False,"zero_reward,ratio_below_alpha,kimi_below_2_3,kimi_preserved_power_present"
263,gonka19cjm4c5mt3j3qdr8vhytmm4hef3pnkvkm0x7m2,7021,1045290,0,1915652591432,1915652591432,1915.652591432,False,4073931,failed_confirmation_poc,INACTIVE,0.0273911017624090,2.7391,0.5,True,7390,184,-7206,0,4073650,0,0,0.0000,no_submission,160,798165,76.3582,pass_weight,gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09:45173:node2;gonka125n6kr5gvdup0lndfkps7t6rd6592panhrg3np:11782:node484;gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu:136217:4B200-spt-kimi-1;gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e:11891:node217;gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5:5307:node2-4xB200;gonka1mmlyd5xxu5l68yx8wzclrkxkxvm88mhq5tp5s0:14181:node606;gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg:116125:k205;gonka1tl5m3vuqsx333v7095ymwjdc4vdk2wd9r5hqws:5491:node605,136217,13.0315,False,"zero_reward,ratio_below_alpha,kimi_submitted,kimi_preserved_power_present"
263,gonka1830lqug50lse998x2lakk4pj5ypfumz5pasz0y,7158,1045290,0,1953032509538,1953032509538,1953.032509538,False,4073931,failed_confirmation_poc,INACTIVE,0.3504465126629466,35.0447,0.5,True,7534,2400,-5134,0,4073650,0,0,0.0000,no_submission,2080,798165,76.3582,pass_weight,gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09:45173:node2;gonka125n6kr5gvdup0lndfkps7t6rd6592panhrg3np:11782:node484;gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu:136217:4B200-spt-kimi-1;gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e:11891:node217;gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5:5307:node2-4xB200;gonka1mmlyd5xxu5l68yx8wzclrkxkxvm88mhq5tp5s0:14181:node606;gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg:116125:k205;gonka1tl5m3vuqsx333v7095ymwjdc4vdk2wd9r5hqws:5491:node605,136217,13.0315,False,"zero_reward,ratio_below_alpha,kimi_submitted,kimi_preserved_power_present"
263,gonka125n6kr5gvdup0lndfkps7t6rd6592panhrg3np,11782,1045290,0,3214672957164,3214672957164,3214.672957164,False,4073931,failed_confirmation_poc,INACTIVE,0.4293285319501149,42.9329,0.5,True,12402,4840,-7562,0,4073650,0,0,0.0000,no_submission,0,0,0.0000,no_submission,gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09:45173:node2;gonka125n6kr5gvdup0lndfkps7t6rd6592panhrg3np:11782:node484;gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu:136217:4B200-spt-kimi-1;gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e:11891:node217;gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5:5307:node2-4xB200;gonka1mmlyd5xxu5l68yx8wzclrkxkxvm88mhq5tp5s0:14181:node606;gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg:116125:k205;gonka1tl5m3vuqsx333v7095ymwjdc4vdk2wd9r5hqws:5491:node605,136217,13.0315,False,"zero_reward,ratio_below_alpha,kimi_below_2_3,kimi_preserved_power_present"
263,gonka1w29nvdy6caqtrw30whz9h6ghl0xszwh3egndah,228,1045290,0,62208914805,62208914805,62.208914805,False,4073931,failed_confirmation_poc,INACTIVE,0.0000000000000000,0.0000,0.5,True,239,0,-239,0,4073650,0,0,0.0000,no_submission,0,0,0.0000,no_submission,gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09:45173:node2;gonka125n6kr5gvdup0lndfkps7t6rd6592panhrg3np:11782:node484;gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu:136217:4B200-spt-kimi-1;gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e:11891:node217;gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5:5307:node2-4xB200;gonka1mmlyd5xxu5l68yx8wzclrkxkxvm88mhq5tp5s0:14181:node606;gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg:116125:k205;gonka1tl5m3vuqsx333v7095ymwjdc4vdk2wd9r5hqws:5491:node605,136217,13.0315,False,"zero_reward,ratio_below_alpha,kimi_below_2_3,kimi_preserved_power_present"
263,gonka1ujnc662v6g69jm6fgxnr79a2m7ehzeut059239,17777,1045290,0,4850385431974,4850385431974,4850.385431974,False,4073931,failed_confirmation_poc,INACTIVE,0.1477168586521700,14.7717,0.5,True,17777,2387,-15390,0,4073650,7264,726111,69.4650,pass_weight,0,0,0.0000,no_submission,gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09:45173:node2;gonka125n6kr5gvdup0lndfkps7t6rd6592panhrg3np:11782:node484;gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu:136217:4B200-spt-kimi-1;gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e:11891:node217;gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5:5307:node2-4xB200;gonka1mmlyd5xxu5l68yx8wzclrkxkxvm88mhq5tp5s0:14181:node606;gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg:116125:k205;gonka1tl5m3vuqsx333v7095ymwjdc4vdk2wd9r5hqws:5491:node605,136217,13.0315,False,"zero_reward,ratio_below_alpha,kimi_below_2_3,kimi_preserved_power_present"
264,gonka1xwkesaxvdadh9wt9yyladu0r260s7whklcktds,6982,1010191,0,1970264959744,1970264959744,1970.264959744,False,4075483,failed_confirmation_poc,INACTIVE,0.3981892270054329,39.8189,0.5,True,7349,2660,-4689,0,4075202,0,0,0.0000,no_submission,2272,713388,70.6191,pass_weight,gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09:46417:node2;gonka15p7s7w2hx0y8095lddd4ummm2y0kwpwljk00aq:3737:node1;gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2:105659:mlnode-100;gonka17gpuntq09zsaqtmpe544gc32tk4424dwv5t34f:42785:B9;gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu:137663:4B200-spt-kimi-1;gonka1d694r00czmq75txghwjcuk07lxvc8d4ekgsha0:57920:mlnode-001;gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e:11393:node217;gonka1famtxh54kad6ylwtm60j6d7h6unpc08d4vdqnk:94585:U11;gonka1mmlyd5xxu5l68yx8wzclrkxkxvm88mhq5tp5s0:7194:node606;gonka1tl5m3vuqsx333v7095ymwjdc4vdk2wd9r5hqws:5491:node605;gonka1wkgawwdzj623ss8eywayzdj6qcgr2llygactje:7194:node214,137663,13.6274,False,"zero_reward,ratio_below_alpha,kimi_submitted,kimi_preserved_power_present"
264,gonka18xeqnspxpg2vncufnjne485rkaagwvz7whyn0d,7158,1010191,0,2019930762224,2019930762224,2019.930762224,False,4075483,failed_confirmation_poc,INACTIVE,0.4925233696717163,49.2523,0.5,True,7534,3373,-4161,0,4075202,0,0,0.0000,no_submission,2880,713388,70.6191,pass_weight,gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09:46417:node2;gonka15p7s7w2hx0y8095lddd4ummm2y0kwpwljk00aq:3737:node1;gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2:105659:mlnode-100;gonka17gpuntq09zsaqtmpe544gc32tk4424dwv5t34f:42785:B9;gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu:137663:4B200-spt-kimi-1;gonka1d694r00czmq75txghwjcuk07lxvc8d4ekgsha0:57920:mlnode-001;gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e:11393:node217;gonka1famtxh54kad6ylwtm60j6d7h6unpc08d4vdqnk:94585:U11;gonka1mmlyd5xxu5l68yx8wzclrkxkxvm88mhq5tp5s0:7194:node606;gonka1tl5m3vuqsx333v7095ymwjdc4vdk2wd9r5hqws:5491:node605;gonka1wkgawwdzj623ss8eywayzdj6qcgr2llygactje:7194:node214,137663,13.6274,False,"zero_reward,ratio_below_alpha,kimi_submitted,kimi_preserved_power_present"
264,gonka14g78ez2zy08k8sssue483zmfpgd4qut8zcwlqc,7158,1010191,0,2019930762224,2019930762224,2019.930762224,False,4075483,failed_confirmation_poc,INACTIVE,0.0600139652935296,6.0014,0.5,True,7534,411,-7123,0,4075202,0,0,0.0000,no_submission,352,713388,70.6191,pass_weight,gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09:46417:node2;gonka15p7s7w2hx0y8095lddd4ummm2y0kwpwljk00aq:3737:node1;gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2:105659:mlnode-100;gonka17gpuntq09zsaqtmpe544gc32tk4424dwv5t34f:42785:B9;gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu:137663:4B200-spt-kimi-1;gonka1d694r00czmq75txghwjcuk07lxvc8d4ekgsha0:57920:mlnode-001;gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e:11393:node217;gonka1famtxh54kad6ylwtm60j6d7h6unpc08d4vdqnk:94585:U11;gonka1mmlyd5xxu5l68yx8wzclrkxkxvm88mhq5tp5s0:7194:node606;gonka1tl5m3vuqsx333v7095ymwjdc4vdk2wd9r5hqws:5491:node605;gonka1wkgawwdzj623ss8eywayzdj6qcgr2llygactje:7194:node214,137663,13.6274,False,"zero_reward,ratio_below_alpha,kimi_submitted,kimi_preserved_power_present"
265,gonka1qnj39ysxpzknvrr5dw9rdl7cx5q7dpkwerryrs,880,904177,0,277313626963,277313626963,277.313626963,False,4095963,failed_confirmation_poc,INACTIVE,0.0000000000000000,0.0000,0.5,True,1035,0,-1035,0,4095682,0,0,0.0000,no_submission,0,0,0.0000,no_submission,gonka15munkmx6x7k6rqqeexjet4556p7at39ks9qgr5:33800:ml8;gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu:189884:4B200-spt-kimi-1;gonka1830lqug50lse998x2lakk4pj5ypfumz5pasz0y:13490:node812;gonka19cjm4c5mt3j3qdr8vhytmm4hef3pnkvkm0x7m2:7057:node218;gonka1famtxh54kad6ylwtm60j6d7h6unpc08d4vdqnk:96900:U11;gonka1j7x6dv42xehe9e5au4ku3wvzwtqlegfjhlvzj6:66311:kimi33,189884,21.0008,False,"zero_reward,ratio_below_alpha,kimi_below_2_3,kimi_preserved_power_present"
