address,status_before,status_after,cw_before,cw_after,lost_cw,rewarded_coins_received,was_dropped,exclusion_reason,exclusion_block_height,cpoc_trigger_height,compensation_ngonka,compensation_gnk
gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,ACTIVE,INACTIVE,65994,18447,65994,0,1,failed_confirmation_poc,4268059,4267778,17896188970852,17896.188970852
gonka10079cnl3nuh2k82mhkm04dj0slhtw9kmjewwau,ACTIVE,ACTIVE,45840,30947,14893,7564721688269,0,,,,4038669308466,4038.669308466
gonka1mmlyd5xxu5l68yx8wzclrkxkxvm88mhq5tp5s0,ACTIVE,INACTIVE,14579,0,14579,0,1,failed_confirmation_poc,4268059,4267778,3953519092736,3953.519092736
gonka1gvrrhjmy4w4mayvs2s5l23edj8ertcmtd2v4zr,ACTIVE,ACTIVE,61659,47698,13961,11860324284660,0,,,,3785930451587,3785.930451587
gonka1scskt6wpnjnumsah6kjphmdu87vjgvcxmn4rxv,ACTIVE,ACTIVE,31283,17521,13762,4412103146383,0,,,,3731965824421,3731.965824421
gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu,ACTIVE,INACTIVE,3801,0,3801,0,1,failed_confirmation_poc,4268059,4267778,1030751496775,1030.751496775
gonka1zktn8j65wlys8a8e38hqhf4y3x6m4x04zskkrx,ACTIVE,ACTIVE,8301,5921,2380,1997913395460,0,,,,645406093745,645.406093745
gonka1u4zxypjgcr8khlzefwjr0vwdaj2uzruw2cehj3,ACTIVE,INACTIVE,1014,0,1014,0,1,failed_confirmation_poc,4270886,4270605,274975537419,274.975537419
gonka1amlmhjym02shahjv8ldmupg4cx0qc66q6f85rj,ACTIVE,INACTIVE,895,0,895,0,1,failed_confirmation_poc,4268059,4267778,242705232731,242.705232731
gonka1duuaqdx06sx8v2dzggltwwmqyuw8lvjkjq7xll,ACTIVE,ACTIVE,129237,128573,664,43384023411292,0,,,,180062876574,180.062876574
gonka1d694r00czmq75txghwjcuk07lxvc8d4ekgsha0,ACTIVE,INACTIVE,466,0,466,0,1,failed_confirmation_poc,4270886,4270605,126369428439,126.369428439
gonka1gyk0aahvr3qeju4zx0nplfreej6cy4jjk8svc5,ACTIVE,INACTIVE,345,0,345,0,1,failed_confirmation_poc,4268059,4267778,93556765689,93.556765689
gonka14ljarev2nlzu4ej50vx7ylj2rvg4n20fnq2ysc,ACTIVE,ACTIVE,16651,16323,328,3779519367305,0,,,,88946722163,88.946722163
gonka1yal0ysgzc860zt3y8cds8656tnueusgymftvkw,ACTIVE,ACTIVE,14650,14448,202,3345483781660,0,,,,54778164259,54.778164259
gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2,ACTIVE,ACTIVE,15129,14988,141,3732634999625,0,,,,38236243368,38.236243368
gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5,ACTIVE,ACTIVE,5315,5270,45,1520190103568,0,,,,12203056394,12.203056394
gonka1ce02jjduga8jvwj8jx39mxn0jr345vgkx7lk2n,ACTIVE,ACTIVE,7503,7462,41,1727617912092,0,,,,11118340270,11.118340270
gonka1rcpc45n6zch9qlkn4m3cwngekad89xu8mcr09v,ACTIVE,ACTIVE,4844,4832,12,1458743167138,0,,,,3254148371,3.254148371
gonka1fvly5jrewyjmjfgwah3khy9rttq4cqajcesv9p,ACTIVE,ACTIVE,168,165,3,55408798167,0,,,,813537092,0.813537092
