epoch,address,status_before,status_after,cw_before,cw_after,raw_cw_delta,lost_cw_counted,eligible,category,compensation_ngonka,compensation_gnk,reason
276,gonka12pcu9mcrpa4w4sjd9y3dsksnvu495ss6f9r4ra,ACTIVE,ACTIVE,10669,10669,0,0,0,excluded_no_confirmation_weight_loss,0,0.000000000,confirmation_weight did not decrease
276,gonka14hyyn555u6dqdr4zqmllr429cnt8kdqx80jws5,ACTIVE,ACTIVE,976,976,0,0,0,excluded_no_confirmation_weight_loss,0,0.000000000,confirmation_weight did not decrease
276,gonka15p7s7w2hx0y8095lddd4ummm2y0kwpwljk00aq,ACTIVE,ACTIVE,3896,3896,0,0,0,excluded_no_confirmation_weight_loss,0,0.000000000,confirmation_weight did not decrease
276,gonka16xa2sdc8qe2289nzr4e6vmdyzlke8g8fn8e75s,ACTIVE,ACTIVE,2406,2406,0,0,0,excluded_no_confirmation_weight_loss,0,0.000000000,confirmation_weight did not decrease
276,gonka19ghzvgfr065s3fr5awuvs3nhy9fq4n7wrr9kel,ACTIVE,ACTIVE,9930,9930,0,0,0,excluded_no_confirmation_weight_loss,0,0.000000000,confirmation_weight did not decrease
276,gonka1d7p03cu2y2yt3vytq9wlfm6tlz0lfhlgv9h82p,ACTIVE,ACTIVE,612,612,0,0,0,excluded_no_confirmation_weight_loss,0,0.000000000,confirmation_weight did not decrease
276,gonka1dkl4mah5erqggvhqkpc8j3qs5tyuetgdy552cp,ACTIVE,ACTIVE,1139,1139,0,0,0,excluded_no_confirmation_weight_loss,0,0.000000000,confirmation_weight did not decrease
276,gonka1fc9tzt83dgrqswlgay4668cuqjrk7zsqks2vm2,ACTIVE,ACTIVE,1310,1310,0,0,0,excluded_no_confirmation_weight_loss,0,0.000000000,confirmation_weight did not decrease
276,gonka1hwvel7n3zuk6wruefuzc356l9myske9stckwnz,ACTIVE,ACTIVE,18684,18684,0,0,0,excluded_no_confirmation_weight_loss,0,0.000000000,confirmation_weight did not decrease
276,gonka1myu058axjs62mc3e7na9krwvqpfl9z3gtcw9es,ACTIVE,ACTIVE,13172,13172,0,0,0,excluded_no_confirmation_weight_loss,0,0.000000000,confirmation_weight did not decrease
276,gonka1nku7u6d5mz80h35ty8ydeh0k5xydesvt9w0vjr,ACTIVE,ACTIVE,2367,2367,0,0,0,excluded_no_confirmation_weight_loss,0,0.000000000,confirmation_weight did not decrease
276,gonka1p2lhgng7tcqju7emk989s5fpdr7k2c3ek6h26m,ACTIVE,ACTIVE,624,624,0,0,0,excluded_no_confirmation_weight_loss,0,0.000000000,confirmation_weight did not decrease
276,gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,ACTIVE,ACTIVE,13362,13362,0,0,0,excluded_no_confirmation_weight_loss,0,0.000000000,confirmation_weight did not decrease
276,gonka1qa90tgczc0k5dvk4l5nvlf5y6phgm6mg22sfjv,ACTIVE,ACTIVE,123885,123885,0,0,0,excluded_no_confirmation_weight_loss,0,0.000000000,confirmation_weight did not decrease
276,gonka1qnj39ysxpzknvrr5dw9rdl7cx5q7dpkwerryrs,ACTIVE,ACTIVE,895,895,0,0,0,excluded_no_confirmation_weight_loss,0,0.000000000,confirmation_weight did not decrease
276,gonka1qwfrtz9c7kcrfkrrlne2pkcye74mj6ce33xdkl,ACTIVE,ACTIVE,489,489,0,0,0,excluded_no_confirmation_weight_loss,0,0.000000000,confirmation_weight did not decrease
276,gonka1tja3g2da45efhe2p83gk3whtussmgmtsdlgprt,ACTIVE,ACTIVE,21289,21289,0,0,0,excluded_no_confirmation_weight_loss,0,0.000000000,confirmation_weight did not decrease
276,gonka1tlvg4kjx7ljd5thgd5fkgh39q6lu8cmxupktgg,ACTIVE,ACTIVE,1966,1966,0,0,0,excluded_no_confirmation_weight_loss,0,0.000000000,confirmation_weight did not decrease
276,gonka1uf5cg7ef0ns6877nl27y0s6rt06cdmn40k5a88,ACTIVE,ACTIVE,956,956,0,0,0,excluded_no_confirmation_weight_loss,0,0.000000000,confirmation_weight did not decrease
276,gonka1uhqpup9fev3zahlx6n326lp0krznc6usjtx6lu,ACTIVE,ACTIVE,147474,147474,0,0,0,excluded_no_confirmation_weight_loss,0,0.000000000,confirmation_weight did not decrease
