address,status_before,status_after,cw_before,cw_after,lost_cw,reason,rewarded_coins_received,compensation_ngonka,compensation_gnk
gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,ACTIVE,INACTIVE,65994,18447,65994,failed_cpoc_full_drop,0,16028213179615,16028.213179615
gonka10079cnl3nuh2k82mhkm04dj0slhtw9kmjewwau,ACTIVE,ACTIVE,45840,30947,14893,partial_cpoc_damage,7564721688269,3617119418189,3617.119418189
gonka1mmlyd5xxu5l68yx8wzclrkxkxvm88mhq5tp5s0,ACTIVE,INACTIVE,14579,0,14579,failed_cpoc_full_drop,0,3540857046786,3540.857046786
gonka1gvrrhjmy4w4mayvs2s5l23edj8ertcmtd2v4zr,ACTIVE,ACTIVE,61659,47698,13961,partial_cpoc_damage,11860324284660,3390761041922,3390.761041922
gonka1scskt6wpnjnumsah6kjphmdu87vjgvcxmn4rxv,ACTIVE,ACTIVE,31283,17521,13762,partial_cpoc_damage,4412103146383,3342429156860,3342.429156860
gonka17pw6099q758qwzewtrqmqpf5c2lrhr97fwqexu,ACTIVE,INACTIVE,3801,0,3801,failed_cpoc_full_drop,0,923163292052,923.163292052
gonka1zktn8j65wlys8a8e38hqhf4y3x6m4x04zskkrx,ACTIVE,ACTIVE,8301,5921,2380,partial_cpoc_damage,1997913395460,578039630382,578.039630382
gonka1u4zxypjgcr8khlzefwjr0vwdaj2uzruw2cehj3,ACTIVE,INACTIVE,1014,0,1014,failed_cpoc_full_drop,0,246274027398,246.274027398
gonka1amlmhjym02shahjv8ldmupg4cx0qc66q6f85rj,ACTIVE,INACTIVE,895,0,895,failed_cpoc_full_drop,0,217372045879,217.372045879
gonka1duuaqdx06sx8v2dzggltwwmqyuw8lvjkjq7xll,ACTIVE,ACTIVE,129237,128573,664,partial_cpoc_damage,43384023411292,161268199400,161.268199400
gonka1d694r00czmq75txghwjcuk07lxvc8d4ekgsha0,ACTIVE,INACTIVE,466,0,466,failed_cpoc_full_drop,0,113179188133,113.179188133
gonka1gyk0aahvr3qeju4zx0nplfreej6cy4jjk8svc5,ACTIVE,INACTIVE,345,0,345,failed_cpoc_full_drop,0,83791459026,83.791459026
gonka14ljarev2nlzu4ej50vx7ylj2rvg4n20fnq2ysc,ACTIVE,ACTIVE,16651,16323,328,partial_cpoc_damage,3779519367305,79662604523,79.662604523
gonka1yal0ysgzc860zt3y8cds8656tnueusgymftvkw,ACTIVE,ACTIVE,14650,14448,202,partial_cpoc_damage,3345483781660,49060506444,49.060506444
gonka168rtjfkszuhcggg4dfyse4yh7xn9zwfglnkns2,ACTIVE,ACTIVE,15129,14988,141,partial_cpoc_damage,3732634999625,34245204993,34.245204993
gonka1kx9mca3xm8u8ypzfuhmxey66u0ufxhs7nm6wc5,ACTIVE,ACTIVE,5315,5270,45,partial_cpoc_damage,1520190103568,10929320742,10.929320742
gonka1ce02jjduga8jvwj8jx39mxn0jr345vgkx7lk2n,ACTIVE,ACTIVE,7503,7462,41,partial_cpoc_damage,1727617912092,9957825565,9.957825565
gonka1rcpc45n6zch9qlkn4m3cwngekad89xu8mcr09v,ACTIVE,ACTIVE,4844,4832,12,partial_cpoc_damage,1458743167138,2914485531,2.914485531
gonka1fvly5jrewyjmjfgwah3khy9rttq4cqajcesv9p,ACTIVE,ACTIVE,168,165,3,partial_cpoc_damage,55408798167,728621382,0.728621382
