epoch,model,model_id,found,total_weight,poc_start_block_height,weight,voting_power,confirmation_weight,node_count,node_ids,nodes,ml3_present,ml3_poc_weight,ml3_throughput,ml3_timeslot_allocation,ml3_pre_poc_slot,ml3_poc_slot,poc_slot_node_ids
263,Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,True,1248075,4059188,16235,36087,36087,1,ml3,ml3:16235:0:10,True,16235,0,10,True,False,
263,Kimi,moonshotai/Kimi-K2.6,True,482809,4059188,23972,36087,36087,2,ml5;ml8,ml5:11912:0:10;ml8:12060:0:10,False,,,,False,False,
264,Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,True,1254596,4074579,16235,36531,36531,1,ml3,ml3:16235:0:10,True,16235,0,10,True,False,
264,Kimi,moonshotai/Kimi-K2.6,True,461069,4074579,24324,36531,36531,2,ml5;ml8,ml5:12091:0:10;ml8:12233:0:10,False,,,,False,False,
265,Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,True,1227899,4089970,16235,33800,33800,1,ml3,ml3:16235:0:10,True,16235,0,10,True,False,
265,Kimi,moonshotai/Kimi-K2.6,True,377276,4089970,22160,33800,33800,2,ml5;ml8,ml5:12091:0:10;ml8:10069:0:10,False,,,,False,False,
266,Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,False,886097,4105361,,,,0,,,False,,,,False,False,
266,Kimi,moonshotai/Kimi-K2.6,True,59933,4105361,26304,31538,33197,2,ml3;ml8,ml3:16235:0:10;ml8:10069:0:10,True,16235,0,10,True,False,
267,Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,False,837821,4120752,,,,0,,,False,,,,False,False,
267,Kimi,moonshotai/Kimi-K2.6,True,658820,4120752,27400,9647,34581,3,ml3;ml5;ml8,ml3:5219:0:10;ml5:12112:0:10;ml8:10069:0:10,True,5219,0,10,True,False,
268,Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,False,897186,4136143,,,,0,,,False,,,,False,False,
268,Kimi,moonshotai/Kimi-K2.6,True,449753,4136143,27639,22500,34882,3,ml3;ml5;ml8,ml3:5219:0:10;ml5:12351:0:10;ml8:10069:0:10,True,5219,0,10,True,False,
269,Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,False,773462,4151534,,,,0,,,False,,,,False,False,
269,Kimi,moonshotai/Kimi-K2.6,True,450982,4151534,17885,15496,22572,2,ml3;ml5,ml3:5219:0:10;ml5:12666:0:10,True,5219,0,10,True,False,
270,Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,False,749902,4166925,,,,0,,,False,,,,False,False,
270,Kimi,moonshotai/Kimi-K2.6,True,521085,4166925,23670,19891,29873,2,ml1;ml5,ml1:11175:0:10;ml5:12495:0:10,False,,,,False,False,
271,Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,False,773186,4182316,,,,0,,,False,,,,False,False,
271,Kimi,moonshotai/Kimi-K2.6,True,488471,4182316,23867,24532,30122,2,ml1;ml5,ml1:11175:0:10;ml5:12692:0:10,False,,,,False,False,
