epoch,model,node_id,poc_weight,throughput,timeslot_allocation,participant_weight,participant_voting_power,participant_confirmation_weight
263,Qwen,ml3,16235,0,10,16235,36087,36087
263,Kimi,ml5,11912,0,10,23972,36087,36087
263,Kimi,ml8,12060,0,10,23972,36087,36087
264,Qwen,ml3,16235,0,10,16235,36531,36531
264,Kimi,ml5,12091,0,10,24324,36531,36531
264,Kimi,ml8,12233,0,10,24324,36531,36531
265,Qwen,ml3,16235,0,10,16235,33800,33800
265,Kimi,ml5,12091,0,10,22160,33800,33800
265,Kimi,ml8,10069,0,10,22160,33800,33800
266,Kimi,ml3,16235,0,10,26304,31538,33197
266,Kimi,ml8,10069,0,10,26304,31538,33197
267,Kimi,ml3,5219,0,10,27400,9647,34581
267,Kimi,ml5,12112,0,10,27400,9647,34581
267,Kimi,ml8,10069,0,10,27400,9647,34581
268,Kimi,ml3,5219,0,10,27639,22500,34882
268,Kimi,ml5,12351,0,10,27639,22500,34882
268,Kimi,ml8,10069,0,10,27639,22500,34882
269,Kimi,ml3,5219,0,10,17885,15496,22572
269,Kimi,ml5,12666,0,10,17885,15496,22572
270,Kimi,ml1,11175,0,10,23670,19891,29873
270,Kimi,ml5,12495,0,10,23670,19891,29873
271,Kimi,ml1,11175,0,10,23867,24532,30122
271,Kimi,ml5,12692,0,10,23867,24532,30122
272,Kimi,ml1,11175,0,10,11175,11782,14103
273,Kimi,ml1,11175,0,10,11175,8777,14103
280,Qwen,mlnode-200,2545,0,10,2545,8390,8390
280,Kimi,mlnode-100,6197,0,10,6197,8390,8390
281,Kimi,mlnode-100,6723,0,10,6723,7787,8196
282,Qwen,mlnode-103,2722,0,10,5444,10094,10094
282,Qwen,mlnode-104,2722,0,10,5444,10094,10094
282,Kimi,mlnode-100,6723,0,10,6723,10094,10094
283,Qwen,mlnode-103,2793,0,10,5586,10216,10216
283,Qwen,mlnode-104,2793,0,10,5586,10216,10216
283,Kimi,mlnode-100,6723,0,10,6723,10216,10216
