epoch,found_in_performance,rewarded_coins,earned_coins,inference_count,missed_requests,claimed,excluded,exclusion_reason,exclusion_height
263,True,9745244781111,573253921,17359,53,True,False,,
264,True,8986970520335,42351551,30177,69,True,False,,
265,True,10553989409830,237199613,14619,58,True,False,,
266,True,26799023361427,76956273,17145,13,True,False,,
267,True,2829715828861,1200217128,6187,7,True,False,,
268,True,5757415294226,36429281,1408,39,True,False,,
269,True,6276820078853,6654169,1342,50,True,False,,
270,True,7880707923174,164624748,5445,59,True,False,,
271,True,4081774107222,137740610,8388,66,True,False,,
272,True,0,2268162,185,50,True,False,,
273,True,0,0,0,0,False,False,,
274,False,,,,,,False,,
275,False,,,,,,False,,
276,False,,,,,,False,,
277,False,,,,,,False,,
278,False,,,,,,False,,
279,False,,,,,,False,,
280,True,3937861717621,0,0,0,True,False,,
281,True,3124093830665,0,0,0,True,False,,
282,True,4760469992293,74981842,3909,120,True,False,,
283,False,,,,,,False,,
