epoch,models_found,node_ids,ml3_present,ml3_pre_poc_slot,ml3_poc_slot,qwen_weight,qwen_voting_power,qwen_nodes,kimi_weight,kimi_voting_power,kimi_nodes,rewarded_gonka,excluded,exclusion_reason
263,2,ml3;ml5;ml8,True,True,False,16235,36087,ml3:16235:0:10,23972,36087,ml5:11912:0:10;ml8:12060:0:10,9745.244781111,False,
264,2,ml3;ml5;ml8,True,True,False,16235,36531,ml3:16235:0:10,24324,36531,ml5:12091:0:10;ml8:12233:0:10,8986.970520335,False,
265,2,ml3;ml5;ml8,True,True,False,16235,33800,ml3:16235:0:10,22160,33800,ml5:12091:0:10;ml8:10069:0:10,10553.989409830,False,
266,1,ml3;ml8,True,True,False,,,,26304,31538,ml3:16235:0:10;ml8:10069:0:10,26799.023361427,False,
267,1,ml3;ml5;ml8,True,True,False,,,,27400,9647,ml3:5219:0:10;ml5:12112:0:10;ml8:10069:0:10,2829.715828861,False,
268,1,ml3;ml5;ml8,True,True,False,,,,27639,22500,ml3:5219:0:10;ml5:12351:0:10;ml8:10069:0:10,5757.415294226,False,
269,1,ml3;ml5,True,True,False,,,,17885,15496,ml3:5219:0:10;ml5:12666:0:10,6276.820078853,False,
270,1,ml1;ml5,False,False,False,,,,23670,19891,ml1:11175:0:10;ml5:12495:0:10,7880.707923174,False,
271,1,ml1;ml5,False,False,False,,,,23867,24532,ml1:11175:0:10;ml5:12692:0:10,4081.774107222,False,
272,1,ml1,False,False,False,,,,11175,11782,ml1:11175:0:10,0.000000000,False,
273,1,ml1,False,False,False,,,,11175,8777,ml1:11175:0:10,0.000000000,False,
274,0,,False,False,False,,,,,,,,False,
275,0,,False,False,False,,,,,,,,False,
276,0,,False,False,False,,,,,,,,False,
277,0,,False,False,False,,,,,,,,False,
278,0,,False,False,False,,,,,,,,False,
279,0,,False,False,False,,,,,,,,False,
280,2,mlnode-100;mlnode-200,False,False,False,2545,8390,mlnode-200:2545:0:10,6197,8390,mlnode-100:6197:0:10,3937.861717621,False,
281,1,mlnode-100,False,False,False,,,,6723,7787,mlnode-100:6723:0:10,3124.093830665,False,
282,2,mlnode-100;mlnode-103;mlnode-104,False,False,False,5444,10094,mlnode-103:2722:0:10;mlnode-104:2722:0:10,6723,10094,mlnode-100:6723:0:10,4760.469992293,False,
283,2,mlnode-100;mlnode-103;mlnode-104,False,False,False,5586,10216,mlnode-103:2793:0:10;mlnode-104:2793:0:10,6723,10216,mlnode-100:6723:0:10,,False,
