epoch,participant,exclusion_height,event_trigger_height,confirmation_ratio_percent,qwen_submitted_count,qwen_valid_weight_percent,qwen_result,kimi_submitted_count,kimi_valid_weight_percent,kimi_result,loss_gonka
263,gonka19cjm4c5mt3j3qdr8vhytmm4hef3pnkvkm0x7m2,4073931,4073650,2.7391,0,0.0000,no_submission,160,76.3582,pass_weight,1915.652591432
263,gonka1830lqug50lse998x2lakk4pj5ypfumz5pasz0y,4073931,4073650,35.0447,0,0.0000,no_submission,2080,76.3582,pass_weight,1953.032509538
263,gonka1ujnc662v6g69jm6fgxnr79a2m7ehzeut059239,4073931,4073650,14.7717,7264,69.4650,pass_weight,0,0.0000,no_submission,4850.385431974
264,gonka1xwkesaxvdadh9wt9yyladu0r260s7whklcktds,4075483,4075202,39.8189,0,0.0000,no_submission,2272,70.6191,pass_weight,1970.264959744
264,gonka18xeqnspxpg2vncufnjne485rkaagwvz7whyn0d,4075483,4075202,49.2523,0,0.0000,no_submission,2880,70.6191,pass_weight,2019.930762224
264,gonka14g78ez2zy08k8sssue483zmfpgd4qut8zcwlqc,4075483,4075202,6.0014,0,0.0000,no_submission,352,70.6191,pass_weight,2019.930762224
265,gonka1cuwejs77gectp3n32wg8q27hlsa4m3hqspf4ww,4103171,4102890,20.7038,704,69.5671,pass_weight,0,0.0000,no_submission,335.927643572
268,gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,4145179,4144898,17.3837,0,0.0000,no_submission,12480,88.6552,pass_weight,25309.087745610
269,gonka1007py6y2qfn2vaqrthqhtchkwx64hgzc6w544w,4165142,4164861,45.1393,0,0.0000,no_submission,2784,83.9862,pass_weight,2228.595538500
269,gonka1naxyjmun6kl23htjdujwd6c5z5avgwapsrmfk3,4153715,4153434,45.8992,1728,87.4442,pass_weight,0,0.0000,no_submission,535.800580255
271,gonka16xa2sdc8qe2289nzr4e6vmdyzlke8g8fn8e75s,4184667,4184386,33.0943,2125,78.2591,pass_weight,0,0.0000,no_submission,139.200061369
272,gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,4209967,4209686,40.2573,0,0.0000,no_submission,23872,90.8985,pass_weight,22521.036302544
272,gonka1ym3np7guxart483yfdxnlztuazx22cjt0e4a2p,4202574,4202293,19.0604,13056,96.3204,pass_weight,0,0.0000,no_submission,8037.485696859
272,gonka1fvly5jrewyjmjfgwah3khy9rttq4cqajcesv9p,4202574,4202293,28.7372,896,96.5002,pass_weight,0,0.0000,no_submission,365.340258948
272,gonka1nku7u6d5mz80h35ty8ydeh0k5xydesvt9w0vjr,4202574,4202293,19.6229,1375,96.3335,pass_weight,0,0.0000,no_submission,146.964070171
273,gonka1zktn8j65wlys8a8e38hqhf4y3x6m4x04zskkrx,4215708,4215427,31.5761,8128,73.5996,pass_weight,0,0.0000,no_submission,3018.788733411
273,gonka1fvly5jrewyjmjfgwah3khy9rttq4cqajcesv9p,4215708,4215427,49.0130,832,74.6631,pass_weight,0,0.0000,no_submission,218.861247867
274,gonka1qwfrtz9c7kcrfkrrlne2pkcye74mj6ce33xdkl,4233068,4232787,30.4095,416,79.8379,pass_weight,0,0.0000,no_submission,173.159717563
274,gonka1fvly5jrewyjmjfgwah3khy9rttq4cqajcesv9p,4232096,4231815,29.0542,320,83.3818,pass_weight,0,0.0000,no_submission,137.269776102
275,gonka1fvly5jrewyjmjfgwah3khy9rttq4cqajcesv9p,4258478,4258197,33.4816,320,90.4051,pass_weight,0,0.0000,no_submission,126.220428182
276,gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e,4266246,4265965,16.9861,4128,76.8319,pass_weight,0,0.0000,no_submission,3557.528990032
276,gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,4268059,4267778,35.2638,11552,86.9859,pass_weight,12160,78.7207,pass_weight,17356.095656742
276,gonka14tqh62mangwzrma2lgg2dm375rcjzn2ydy8ttm,4264411,4264130,37.1301,0,0.0000,no_submission,14784,86.1881,pass_weight,11765.489995489
276,gonka1ujnc662v6g69jm6fgxnr79a2m7ehzeut059239,4264411,4264130,36.3655,0,0.0000,no_submission,13920,74.6470,pass_weight,10120.274911440
