epoch,poc_start_height,poc_start_utc,poc_start_msk,effective_start_height,effective_start_utc,effective_start_msk,last_height,last_utc,last_msk,upgrade_version,upgrade_height,upgrade_utc,upgrade_msk,upgrade_relation
263,4059188,2026-05-14 02:51:04 UTC,2026-05-14 05:51:04 MSK,4059588,2026-05-14 03:25:34 UTC,2026-05-14 06:25:34 MSK,4074978,2026-05-15 01:27:51 UTC,2026-05-15 04:27:51 MSK,,,,,pre_upgrade
264,4074579,2026-05-15 00:53:30 UTC,2026-05-15 03:53:30 MSK,4074979,2026-05-15 01:27:56 UTC,2026-05-15 04:27:56 MSK,4090369,2026-05-15 23:22:53 UTC,2026-05-16 02:22:53 MSK,,,,,pre_upgrade
265,4089970,2026-05-15 22:48:39 UTC,2026-05-16 01:48:39 MSK,4090370,2026-05-15 23:22:59 UTC,2026-05-16 02:22:59 MSK,4105760,2026-05-16 21:04:58 UTC,2026-05-17 00:04:58 MSK,,,,,pre_upgrade
266,4105361,2026-05-16 20:31:35 UTC,2026-05-16 23:31:35 MSK,4105761,2026-05-16 21:05:03 UTC,2026-05-17 00:05:03 MSK,4121151,2026-05-17 18:51:39 UTC,2026-05-17 21:51:39 MSK,,,,,pre_upgrade
267,4120752,2026-05-17 18:17:36 UTC,2026-05-17 21:17:36 MSK,4121152,2026-05-17 18:51:44 UTC,2026-05-17 21:51:44 MSK,4136542,2026-05-18 16:48:56 UTC,2026-05-18 19:48:56 MSK,,,,,pre_upgrade
268,4136143,2026-05-18 16:14:41 UTC,2026-05-18 19:14:41 MSK,4136543,2026-05-18 16:49:02 UTC,2026-05-18 19:49:02 MSK,4151933,2026-05-19 15:08:06 UTC,2026-05-19 18:08:06 MSK,,,,,pre_upgrade
269,4151534,2026-05-19 14:33:15 UTC,2026-05-19 17:33:15 MSK,4151934,2026-05-19 15:08:12 UTC,2026-05-19 18:08:12 MSK,4167324,2026-05-20 13:27:06 UTC,2026-05-20 16:27:06 MSK,,,,,pre_upgrade
270,4166925,2026-05-20 12:52:11 UTC,2026-05-20 15:52:11 MSK,4167325,2026-05-20 13:27:12 UTC,2026-05-20 16:27:12 MSK,4182715,2026-05-21 11:46:56 UTC,2026-05-21 14:46:56 MSK,,,,,pre_upgrade
271,4182316,2026-05-21 11:12:07 UTC,2026-05-21 14:12:07 MSK,4182716,2026-05-21 11:47:02 UTC,2026-05-21 14:47:02 MSK,4198106,2026-05-22 10:07:31 UTC,2026-05-22 13:07:31 MSK,,,,,pre_upgrade
272,4197707,2026-05-22 09:32:39 UTC,2026-05-22 12:32:39 MSK,4198107,2026-05-22 10:07:37 UTC,2026-05-22 13:07:37 MSK,4213497,2026-05-23 08:28:48 UTC,2026-05-23 11:28:48 MSK,,,,,pre_upgrade
273,4213098,2026-05-23 07:53:51 UTC,2026-05-23 10:53:51 MSK,4213498,2026-05-23 08:28:54 UTC,2026-05-23 11:28:54 MSK,4228888,2026-05-24 06:46:37 UTC,2026-05-24 09:46:37 MSK,,,,,pre_upgrade
274,4228489,2026-05-24 06:11:40 UTC,2026-05-24 09:11:40 MSK,4228889,2026-05-24 06:46:42 UTC,2026-05-24 09:46:42 MSK,4244279,2026-05-25 05:06:36 UTC,2026-05-25 08:06:36 MSK,,,,,pre_upgrade
275,4243880,2026-05-25 04:31:28 UTC,2026-05-25 07:31:28 MSK,4244280,2026-05-25 05:06:42 UTC,2026-05-25 08:06:42 MSK,4259670,2026-05-26 03:34:29 UTC,2026-05-26 06:34:29 MSK,,,,,pre_upgrade
276,4259271,2026-05-26 02:59:12 UTC,2026-05-26 05:59:12 MSK,4259671,2026-05-26 03:34:34 UTC,2026-05-26 06:34:34 MSK,4275061,2026-05-27 02:12:27 UTC,2026-05-27 05:12:27 MSK,v0.2.13,4267300,2026-05-26 14:39:41 UTC,2026-05-26 17:39:41 MSK,upgrade_applied_during_epoch
277,4274662,2026-05-27 01:36:37 UTC,2026-05-27 04:36:37 MSK,4275062,2026-05-27 02:12:33 UTC,2026-05-27 05:12:33 MSK,4290452,2026-05-28 01:00:09 UTC,2026-05-28 04:00:09 MSK,,,,,post_upgrade_clean_start
