epoch,participant,poc_start_height,cpoc_sequence,event_trigger_height,exclusion_height,pass_models,qwen_evidence,kimi_evidence,qwen_pass_weight,kimi_pass_weight,stored_ratio_percent,old_formula_ratio_percent,old_formula_diff,old_formula_matches_stored,new_algorithm_ratio_percent,new_algorithm_would_pass_alpha,loss_gonka,technical_status,overlap_status,recommended_action,decision_boundary,evidence_summary
263,gonka1830lqug50lse998x2lakk4pj5ypfumz5pasz0y,4059188,0,4073650,4073931,Kimi,no_submission; no commit; commits 0; valid 0/696861 (0.0000%); validators 0/0,pass_weight; commit; commits 2080; valid 798165/696861 (76.3582%); validators 16/16,False,True,35.0447%,35.0447%,-0.0000000000000001,True,35.0447%,False,1953.032509538,formula_reconciled_policy_required,no_known_overlap_in_local_repo,clear,policy: decide whether single-model pass is compensable,Kimi reached strict >2/3 cPoC validation; stored ratio 35.0447%; old replay match yes; bounded v0.2.13-style pass no.
263,gonka19cjm4c5mt3j3qdr8vhytmm4hef3pnkvkm0x7m2,4059188,0,4073650,4073931,Kimi,no_submission; no commit; commits 0; valid 0/696861 (0.0000%); validators 0/0,pass_weight; commit; commits 160; valid 798165/696861 (76.3582%); validators 16/16,False,True,2.7391%,2.7391%,0.0000000000000000,True,2.7391%,False,1915.652591432,formula_reconciled_policy_required,no_known_overlap_in_local_repo,clear,policy: decide whether single-model pass is compensable,Kimi reached strict >2/3 cPoC validation; stored ratio 2.7391%; old replay match yes; bounded v0.2.13-style pass no.
263,gonka1ujnc662v6g69jm6fgxnr79a2m7ehzeut059239,4059188,0,4073650,4073931,Qwen,pass_weight; commit; commits 7264; valid 726111/696861 (69.4650%); validators 26/26,no_submission; no commit; commits 0; valid 0/696861 (0.0000%); validators 0/0,True,False,14.7717%,14.7717%,0.0000000000000000,True,14.7717%,False,4850.385431974,formula_reconciled_policy_required,no_known_overlap_in_local_repo,clear,policy: decide whether single-model pass is compensable,Qwen reached strict >2/3 cPoC validation; stored ratio 14.7717%; old replay match yes; bounded v0.2.13-style pass no.
264,gonka14g78ez2zy08k8sssue483zmfpgd4qut8zcwlqc,4074579,0,4075202,4075483,Kimi,no_submission; no commit; commits 0; valid 0/673461 (0.0000%); validators 0/0,pass_weight; commit; commits 352; valid 713388/673461 (70.6191%); validators 15/15,False,True,6.0014%,6.0014%,-0.0000000000000000,True,6.0014%,False,2019.930762224,formula_reconciled_policy_required,no_known_overlap_in_local_repo,clear,policy: decide whether single-model pass is compensable,Kimi reached strict >2/3 cPoC validation; stored ratio 6.0014%; old replay match yes; bounded v0.2.13-style pass no.
264,gonka18xeqnspxpg2vncufnjne485rkaagwvz7whyn0d,4074579,0,4075202,4075483,Kimi,no_submission; no commit; commits 0; valid 0/673461 (0.0000%); validators 0/0,pass_weight; commit; commits 2880; valid 713388/673461 (70.6191%); validators 15/15,False,True,49.2523%,49.2523%,-0.0000000000000000,True,49.2523%,False,2019.930762224,formula_reconciled_policy_required,no_known_overlap_in_local_repo,clear,policy: decide whether single-model pass is compensable,Kimi reached strict >2/3 cPoC validation; stored ratio 49.2523%; old replay match yes; bounded v0.2.13-style pass no.
264,gonka1xwkesaxvdadh9wt9yyladu0r260s7whklcktds,4074579,0,4075202,4075483,Kimi,no_submission; no commit; commits 0; valid 0/673461 (0.0000%); validators 0/0,pass_weight; commit; commits 2272; valid 713388/673461 (70.6191%); validators 15/15,False,True,39.8189%,39.8189%,0.0000000000000000,True,39.8189%,False,1970.264959744,formula_reconciled_policy_required,no_known_overlap_in_local_repo,clear,policy: decide whether single-model pass is compensable,Kimi reached strict >2/3 cPoC validation; stored ratio 39.8189%; old replay match yes; bounded v0.2.13-style pass no.
265,gonka1cuwejs77gectp3n32wg8q27hlsa4m3hqspf4ww,4089970,2,4102890,4103171,Qwen,pass_weight; commit; commits 704; valid 629010/602785 (69.5671%); validators 22/22,no_submission; no commit; commits 0; valid 0/602785 (0.0000%); validators 0/0,True,False,20.7038%,20.7038%,0.0000000000000000,True,20.7038%,False,335.927643572,formula_reconciled_policy_required,p4_cand_01_epoch_range_overlap,review,review: compare against P4-CAND-01 before payout,Qwen reached strict >2/3 cPoC validation; stored ratio 20.7038%; old replay match yes; bounded v0.2.13-style pass no.
268,gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,4136143,3,4144898,4145179,Kimi,no_submission; no commit; commits 0; valid 0/465760 (0.0000%); validators 0/0,pass_weight; commit; commits 12480; valid 619380/465760 (88.6552%); validators 16/16,False,True,17.3837%,17.3837%,0.0000000000000000,True,17.3837%,False,25309.087745610,formula_reconciled_policy_required,p4_cand_01_epoch_range_overlap,review,review: compare against P4-CAND-01 before payout,Kimi reached strict >2/3 cPoC validation; stored ratio 17.3837%; old replay match yes; bounded v0.2.13-style pass no.
269,gonka1007py6y2qfn2vaqrthqhtchkwx64hgzc6w544w,4151534,5,4164861,4165142,Kimi,no_submission; no commit; commits 0; valid 0/452932 (0.0000%); validators 0/0,pass_weight; commit; commits 2784; valid 570600/452932 (83.9862%); validators 19/19,False,True,45.1393%,45.1393%,-0.0000000000000001,True,45.1393%,False,2228.595538500,formula_reconciled_policy_required,p4_cand_01_epoch_range_overlap,review,review: compare against P4-CAND-01 before payout,Kimi reached strict >2/3 cPoC validation; stored ratio 45.1393%; old replay match yes; bounded v0.2.13-style pass no.
269,gonka1naxyjmun6kl23htjdujwd6c5z5avgwapsrmfk3,4151534,0,4153434,4153715,Qwen,pass_weight; commit; commits 1728; valid 594093/452932 (87.4442%); validators 23/23,no_submission; no commit; commits 0; valid 0/452932 (0.0000%); validators 0/0,True,False,45.8992%,45.8992%,0.0000000000000000,True,45.8992%,False,535.800580255,formula_reconciled_policy_required,p4_cand_01_epoch_range_overlap,review,review: compare against P4-CAND-01 before payout,Qwen reached strict >2/3 cPoC validation; stored ratio 45.8992%; old replay match yes; bounded v0.2.13-style pass no.
271,gonka16xa2sdc8qe2289nzr4e6vmdyzlke8g8fn8e75s,4182316,0,4184386,4184667,Qwen,pass_weight; commit; commits 2125; valid 622966/530687 (78.2591%); validators 20/21,no_submission; no commit; commits 0; valid 0/530687 (0.0000%); validators 0/0,True,False,33.0943%,33.0943%,0.0000000000000000,True,33.0943%,False,139.200061369,formula_reconciled_policy_required,p4_cand_01_epoch_range_overlap,review,review: compare against P4-CAND-01 before payout,Qwen reached strict >2/3 cPoC validation; stored ratio 33.0943%; old replay match yes; bounded v0.2.13-style pass no.
