participant,rows,epochs,pass_models,gross_compensation_gonka,overlap_statuses_reference_only
gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,2,"268, 272",Kimi,47830.124048154,p4_cand_01_epoch_range_overlap
gonka10mmdjau4dnj8krs7sh7t7635ttnmq9u3vqgz09,1,276,Qwen+Kimi,17356.095656742,known_p3_cand_04_same_address
gonka1ujnc662v6g69jm6fgxnr79a2m7ehzeut059239,2,"263, 276","Kimi, Qwen",14970.660343414,"no_known_overlap_in_local_repo, p3_cand_04_epoch_overlap_unresolved"
gonka14tqh62mangwzrma2lgg2dm375rcjzn2ydy8ttm,1,276,Kimi,11765.489995489,p3_cand_04_epoch_overlap_unresolved
gonka1ym3np7guxart483yfdxnlztuazx22cjt0e4a2p,1,272,Qwen,8037.485696859,p4_cand_01_epoch_range_overlap
gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e,1,276,Qwen,3557.528990032,p3_cand_04_epoch_overlap_unresolved
gonka1zktn8j65wlys8a8e38hqhf4y3x6m4x04zskkrx,1,273,Qwen,3018.788733411,p4_cand_01_epoch_range_overlap
gonka1007py6y2qfn2vaqrthqhtchkwx64hgzc6w544w,1,269,Kimi,2228.595538500,p4_cand_01_epoch_range_overlap
gonka14g78ez2zy08k8sssue483zmfpgd4qut8zcwlqc,1,264,Kimi,2019.930762224,no_known_overlap_in_local_repo
gonka18xeqnspxpg2vncufnjne485rkaagwvz7whyn0d,1,264,Kimi,2019.930762224,no_known_overlap_in_local_repo
gonka1xwkesaxvdadh9wt9yyladu0r260s7whklcktds,1,264,Kimi,1970.264959744,no_known_overlap_in_local_repo
gonka1830lqug50lse998x2lakk4pj5ypfumz5pasz0y,1,263,Kimi,1953.032509538,no_known_overlap_in_local_repo
gonka19cjm4c5mt3j3qdr8vhytmm4hef3pnkvkm0x7m2,1,263,Kimi,1915.652591432,no_known_overlap_in_local_repo
gonka1fvly5jrewyjmjfgwah3khy9rttq4cqajcesv9p,4,"272, 273, 274, 275",Qwen,847.691711099,p4_cand_01_epoch_range_overlap
gonka1naxyjmun6kl23htjdujwd6c5z5avgwapsrmfk3,1,269,Qwen,535.800580255,p4_cand_01_epoch_range_overlap
gonka1cuwejs77gectp3n32wg8q27hlsa4m3hqspf4ww,1,265,Qwen,335.927643572,p4_cand_01_epoch_range_overlap
gonka1qwfrtz9c7kcrfkrrlne2pkcye74mj6ce33xdkl,1,274,Qwen,173.159717563,p4_cand_01_epoch_range_overlap
gonka1nku7u6d5mz80h35ty8ydeh0k5xydesvt9w0vjr,1,272,Qwen,146.964070171,p4_cand_01_epoch_range_overlap
gonka16xa2sdc8qe2289nzr4e6vmdyzlke8g8fn8e75s,1,271,Qwen,139.200061369,p4_cand_01_epoch_range_overlap
