epoch,participant,event_sequence,event_trigger_height,exclusion_height,total_network_weight,two_thirds_min_weight,root_weight,confirmation_weight_before,confirmation_weight_at_exclusion,confirmation_weight_delta,stored_confirmation_ratio,stored_confirmation_ratio_percent,simple_ratio_from_confirmation_weights,simple_ratio_diff,simple_ratio_matches_stored,alpha_threshold,qwen_submitted_count,qwen_valid_weight,qwen_valid_weight_percent,qwen_result,qwen_shortfall_vs_two_thirds,kimi_submitted_count,kimi_valid_weight,kimi_valid_weight_percent,kimi_result,kimi_shortfall_vs_two_thirds,pass_models,max_single_preserved_kimi_weight,max_single_preserved_kimi_weight_percent,loss_gonka,classification,classification_reason,p3_cand_04_epoch_overlap,p3_cand_04_known_address_overlap,p4_cand_01_epoch_overlap
263,gonka1830lqug50lse998x2lakk4pj5ypfumz5pasz0y,0,4073650,4073931,1045290,696861,7158,7534,2400,-5134,0.3504465126629466,35.0447,0.3504465126629467,-0.0000000000000001,True,0.5,0,0,0.0000,no_submission,696861,2080,798165,76.3582,pass_weight,0,Kimi,136217,13.0315,1953.032509538,single_model_pass_expected_capacity_failed,"one tracked model reached pass_weight, the other had no submission; stored ratio reconciles with the observed confirmation-weight reduction",False,False,False
263,gonka19cjm4c5mt3j3qdr8vhytmm4hef3pnkvkm0x7m2,0,4073650,4073931,1045290,696861,7021,7390,184,-7206,0.0273911017624090,2.7391,0.0273911017624090,0.0000000000000000,True,0.5,0,0,0.0000,no_submission,696861,160,798165,76.3582,pass_weight,0,Kimi,136217,13.0315,1915.652591432,single_model_pass_expected_capacity_failed,"one tracked model reached pass_weight, the other had no submission; stored ratio reconciles with the observed confirmation-weight reduction",False,False,False
263,gonka1ujnc662v6g69jm6fgxnr79a2m7ehzeut059239,0,4073650,4073931,1045290,696861,17777,17777,2387,-15390,0.1477168586521700,14.7717,0.1477168586521700,0.0000000000000000,True,0.5,7264,726111,69.4650,pass_weight,0,0,0,0.0000,no_submission,696861,Qwen,136217,13.0315,4850.385431974,single_model_pass_expected_capacity_failed,"one tracked model reached pass_weight, the other had no submission; stored ratio reconciles with the observed confirmation-weight reduction",False,False,False
264,gonka14g78ez2zy08k8sssue483zmfpgd4qut8zcwlqc,0,4075202,4075483,1010191,673461,7158,7534,411,-7123,0.0600139652935296,6.0014,0.0600139652935296,-0.0000000000000000,True,0.5,0,0,0.0000,no_submission,673461,352,713388,70.6191,pass_weight,0,Kimi,137663,13.6274,2019.930762224,single_model_pass_expected_capacity_failed,"one tracked model reached pass_weight, the other had no submission; stored ratio reconciles with the observed confirmation-weight reduction",False,False,False
264,gonka18xeqnspxpg2vncufnjne485rkaagwvz7whyn0d,0,4075202,4075483,1010191,673461,7158,7534,3373,-4161,0.4925233696717163,49.2523,0.4925233696717163,-0.0000000000000000,True,0.5,0,0,0.0000,no_submission,673461,2880,713388,70.6191,pass_weight,0,Kimi,137663,13.6274,2019.930762224,single_model_pass_expected_capacity_failed,"one tracked model reached pass_weight, the other had no submission; stored ratio reconciles with the observed confirmation-weight reduction",False,False,False
264,gonka1xwkesaxvdadh9wt9yyladu0r260s7whklcktds,0,4075202,4075483,1010191,673461,6982,7349,2660,-4689,0.3981892270054329,39.8189,0.3981892270054329,0.0000000000000000,True,0.5,0,0,0.0000,no_submission,673461,2272,713388,70.6191,pass_weight,0,Kimi,137663,13.6274,1970.264959744,single_model_pass_expected_capacity_failed,"one tracked model reached pass_weight, the other had no submission; stored ratio reconciles with the observed confirmation-weight reduction",False,False,False
265,gonka1cuwejs77gectp3n32wg8q27hlsa4m3hqspf4ww,2,4102890,4103171,904177,602785,1066,1254,236,-1018,0.2070382476844176,20.7038,0.2070382476844176,0.0000000000000000,True,0.5,704,629010,69.5671,pass_weight,0,0,0,0.0000,no_submission,602785,Qwen,189884,21.0008,335.927643572,single_model_pass_expected_capacity_failed,"one tracked model reached pass_weight, the other had no submission; stored ratio reconciles with the observed confirmation-weight reduction",False,False,True
268,gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,3,4144898,4145179,698639,465760,62145,89030,14477,-74553,0.1738374588419373,17.3837,0.1788868092694926,-0.0050493504275553,False,0.5,0,0,0.0000,no_submission,465760,12480,619380,88.6552,pass_weight,0,Kimi,55185,7.8989,25309.087745610,single_model_pass_coefficient_replayed,"one tracked model reached pass_weight; stored ratio reconciles after historical coefficients, time normalization, preserved snapshot, and MLNode distribution replay",False,False,True
269,gonka1007py6y2qfn2vaqrthqhtchkwx64hgzc6w544w,5,4164861,4165142,679397,452932,5324,7755,3182,-4573,0.4513926569961960,45.1393,0.4513926569961961,-0.0000000000000001,True,0.5,0,0,0.0000,no_submission,452932,2784,570600,83.9862,pass_weight,0,Kimi,61039,8.9843,2228.595538500,single_model_pass_expected_capacity_failed,"one tracked model reached pass_weight, the other had no submission; stored ratio reconciles with the observed confirmation-weight reduction",False,False,True
269,gonka1naxyjmun6kl23htjdujwd6c5z5avgwapsrmfk3,0,4153434,4153715,679397,452932,1280,1347,562,-785,0.4589917046641561,45.8992,0.4589917046641561,0.0000000000000000,True,0.5,1728,594093,87.4442,pass_weight,0,0,0,0.0000,no_submission,452932,Qwen,61039,8.9843,535.800580255,single_model_pass_expected_capacity_failed,"one tracked model reached pass_weight, the other had no submission; stored ratio reconciles with the observed confirmation-weight reduction",False,False,True
