epoch,participant,poc_start_height,epoch_effective_height,epoch_last_height,next_epoch_height,blocks_from_poc_start_to_cpoc,cpoc_sequence,cpoc_trigger_height,blocks_from_cpoc_to_exclusion,exclusion_height,blocks_to_next_epoch,root_weight,confirmation_weight_before,confirmed_weight_at_exclusion,confirmation_weight_lost,confirmation_ratio_percent,qwen_submitted_count,qwen_valid_weight,qwen_valid_weight_percent,qwen_result,kimi_submitted_count,kimi_valid_weight,kimi_valid_weight_percent,kimi_result,pass_weight_models,loss_gonka
263,gonka19cjm4c5mt3j3qdr8vhytmm4hef3pnkvkm0x7m2,4059188,4059588,4074978,4074979,14462,0,4073650,281,4073931,1048,7021,7390,184,7206,2.7391,0,0,0.0000,no_submission,160,798165,76.3582,pass_weight,Kimi,1915.652591432
263,gonka1830lqug50lse998x2lakk4pj5ypfumz5pasz0y,4059188,4059588,4074978,4074979,14462,0,4073650,281,4073931,1048,7158,7534,2400,5134,35.0447,0,0,0.0000,no_submission,2080,798165,76.3582,pass_weight,Kimi,1953.032509538
263,gonka1ujnc662v6g69jm6fgxnr79a2m7ehzeut059239,4059188,4059588,4074978,4074979,14462,0,4073650,281,4073931,1048,17777,17777,2387,15390,14.7717,7264,726111,69.4650,pass_weight,0,0,0.0000,no_submission,Qwen,4850.385431974
264,gonka1xwkesaxvdadh9wt9yyladu0r260s7whklcktds,4074579,4074979,4090369,4090370,623,0,4075202,281,4075483,14887,6982,7349,2660,4689,39.8189,0,0,0.0000,no_submission,2272,713388,70.6191,pass_weight,Kimi,1970.264959744
264,gonka18xeqnspxpg2vncufnjne485rkaagwvz7whyn0d,4074579,4074979,4090369,4090370,623,0,4075202,281,4075483,14887,7158,7534,3373,4161,49.2523,0,0,0.0000,no_submission,2880,713388,70.6191,pass_weight,Kimi,2019.930762224
264,gonka14g78ez2zy08k8sssue483zmfpgd4qut8zcwlqc,4074579,4074979,4090369,4090370,623,0,4075202,281,4075483,14887,7158,7534,411,7123,6.0014,0,0,0.0000,no_submission,352,713388,70.6191,pass_weight,Kimi,2019.930762224
265,gonka1cuwejs77gectp3n32wg8q27hlsa4m3hqspf4ww,4089970,4090370,4105760,4105761,12920,2,4102890,281,4103171,2590,1066,1254,236,1018,20.7038,704,629010,69.5671,pass_weight,0,0,0.0000,no_submission,Qwen,335.927643572
268,gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,4136143,4136543,4151933,4151934,8755,3,4144898,281,4145179,6755,62145,89030,14477,74553,17.3837,0,0,0.0000,no_submission,12480,619380,88.6552,pass_weight,Kimi,25309.087745610
269,gonka1007py6y2qfn2vaqrthqhtchkwx64hgzc6w544w,4151534,4151934,4167324,4167325,13327,5,4164861,281,4165142,2183,5324,7755,3182,4573,45.1393,0,0,0.0000,no_submission,2784,570600,83.9862,pass_weight,Kimi,2228.595538500
269,gonka1naxyjmun6kl23htjdujwd6c5z5avgwapsrmfk3,4151534,4151934,4167324,4167325,1900,0,4153434,281,4153715,13610,1280,1347,562,785,45.8992,1728,594093,87.4442,pass_weight,0,0,0.0000,no_submission,Qwen,535.800580255
271,gonka16xa2sdc8qe2289nzr4e6vmdyzlke8g8fn8e75s,4182316,4182716,4198106,4198107,2070,0,4184386,281,4184667,13440,390,2297,691,1606,33.0943,2125,622966,78.2591,pass_weight,0,0,0.0000,no_submission,Qwen,139.200061369
272,gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,4197707,4198107,4213497,4213498,11979,3,4209686,281,4209967,3531,65281,44078,27426,16652,40.2573,0,0,0.0000,no_submission,23872,748261,90.8985,pass_weight,Kimi,22521.036302544
272,gonka1ym3np7guxart483yfdxnlztuazx22cjt0e4a2p,4197707,4198107,4213497,4213498,4586,0,4202293,281,4202574,10924,23298,24524,4249,20275,19.0604,13056,792893,96.3204,pass_weight,0,0,0.0000,no_submission,Qwen,8037.485696859
272,gonka1fvly5jrewyjmjfgwah3khy9rttq4cqajcesv9p,4197707,4198107,4213497,4213498,4586,0,4202293,281,4202574,10924,1059,1114,291,823,28.7372,896,794373,96.5002,pass_weight,0,0,0.0000,no_submission,Qwen,365.340258948
272,gonka1nku7u6d5mz80h35ty8ydeh0k5xydesvt9w0vjr,4197707,4198107,4213497,4213498,4586,0,4202293,281,4202574,10924,426,2506,447,2059,19.6229,1375,793001,96.3335,pass_weight,0,0,0.0000,no_submission,Qwen,146.964070171
