participant,epoch,poc_start_height,poc_start_utc,poc_start_msk,effective_start_height,next_epoch_height,total_network_weight,two_thirds_min_weight,root_weight_at_poc,cpoc_sequence,cpoc_trigger_height,cpoc_trigger_utc,cpoc_trigger_msk,snapshot_height,snapshot_utc,snapshot_msk,confirmation_weight_before,confirmation_weight_after,confirmation_weight_delta,confirmation_weight_after_pct_of_root,qwen_submitted_count,qwen_valid_weight,qwen_valid_weight_percent,qwen_result,kimi_submitted_count,kimi_valid_weight,kimi_valid_weight_percent,kimi_result,event_status,exclusion_height,blocks_to_next_epoch_from_snapshot,loss_gonka,note
gonka1830lqug50lse998x2lakk4pj5ypfumz5pasz0y,263,4059188,2026-05-14 02:51:04 UTC,2026-05-14 05:51:04 MSK,4059588,4074579,1045290,696861,7158,0,4073650,2026-05-14 23:33:51 UTC,2026-05-15 02:33:51 MSK,4073931,2026-05-14 23:58:01 UTC,2026-05-15 02:58:01 MSK,7534,2400,-5134,33.5289,0,0,0.0000,no_submission,2080,798165,76.3582,pass_weight,lost_at_failed_confirmation_poc,4073931,648,1953.032509538,confirmation weight drops below alpha and participant is excluded
gonka19cjm4c5mt3j3qdr8vhytmm4hef3pnkvkm0x7m2,263,4059188,2026-05-14 02:51:04 UTC,2026-05-14 05:51:04 MSK,4059588,4074579,1045290,696861,7021,0,4073650,2026-05-14 23:33:51 UTC,2026-05-15 02:33:51 MSK,4073931,2026-05-14 23:58:01 UTC,2026-05-15 02:58:01 MSK,7390,184,-7206,2.6207,0,0,0.0000,no_submission,160,798165,76.3582,pass_weight,lost_at_failed_confirmation_poc,4073931,648,1915.652591432,confirmation weight drops below alpha and participant is excluded
gonka1ujnc662v6g69jm6fgxnr79a2m7ehzeut059239,263,4059188,2026-05-14 02:51:04 UTC,2026-05-14 05:51:04 MSK,4059588,4074579,1045290,696861,17777,0,4073650,2026-05-14 23:33:51 UTC,2026-05-15 02:33:51 MSK,4073931,2026-05-14 23:58:01 UTC,2026-05-15 02:58:01 MSK,17777,2387,-15390,13.4275,7264,726111,69.4650,pass_weight,0,0,0.0000,no_submission,lost_at_failed_confirmation_poc,4073931,648,4850.385431974,confirmation weight drops below alpha and participant is excluded
gonka14g78ez2zy08k8sssue483zmfpgd4qut8zcwlqc,264,4074579,2026-05-15 00:53:30 UTC,2026-05-15 03:53:30 MSK,4074979,4089970,1010191,673461,7158,0,4075202,2026-05-15 01:47:04 UTC,2026-05-15 04:47:04 MSK,4075483,2026-05-15 02:11:12 UTC,2026-05-15 05:11:12 MSK,7534,411,-7123,5.7418,0,0,0.0000,no_submission,352,713388,70.6191,pass_weight,lost_at_failed_confirmation_poc,4075483,14487,2019.930762224,confirmation weight drops below alpha and participant is excluded
gonka18xeqnspxpg2vncufnjne485rkaagwvz7whyn0d,264,4074579,2026-05-15 00:53:30 UTC,2026-05-15 03:53:30 MSK,4074979,4089970,1010191,673461,7158,0,4075202,2026-05-15 01:47:04 UTC,2026-05-15 04:47:04 MSK,4075483,2026-05-15 02:11:12 UTC,2026-05-15 05:11:12 MSK,7534,3373,-4161,47.1221,0,0,0.0000,no_submission,2880,713388,70.6191,pass_weight,lost_at_failed_confirmation_poc,4075483,14487,2019.930762224,confirmation weight drops below alpha and participant is excluded
gonka1xwkesaxvdadh9wt9yyladu0r260s7whklcktds,264,4074579,2026-05-15 00:53:30 UTC,2026-05-15 03:53:30 MSK,4074979,4089970,1010191,673461,6982,0,4075202,2026-05-15 01:47:04 UTC,2026-05-15 04:47:04 MSK,4075483,2026-05-15 02:11:12 UTC,2026-05-15 05:11:12 MSK,7349,2660,-4689,38.0980,0,0,0.0000,no_submission,2272,713388,70.6191,pass_weight,lost_at_failed_confirmation_poc,4075483,14487,1970.264959744,confirmation weight drops below alpha and participant is excluded
gonka1cuwejs77gectp3n32wg8q27hlsa4m3hqspf4ww,265,4089970,2026-05-15 22:48:39 UTC,2026-05-16 01:48:39 MSK,4090370,4105361,904177,602785,1066,0,4095682,2026-05-16 06:55:01 UTC,2026-05-16 09:55:01 MSK,4098878,2026-05-16 11:25:55 UTC,2026-05-16 14:25:55 MSK,1254,1254,0,117.6360,4960,639915,70.7732,pass_weight,0,0,0.0000,no_submission,kept_before_next_cpoc,,6483,,participant remains active before the next cPoC
gonka1cuwejs77gectp3n32wg8q27hlsa4m3hqspf4ww,265,4089970,2026-05-15 22:48:39 UTC,2026-05-16 01:48:39 MSK,4090370,4105361,904177,602785,1066,1,4098879,2026-05-16 11:26:01 UTC,2026-05-16 14:26:01 MSK,4102889,2026-05-16 17:05:14 UTC,2026-05-16 20:05:14 MSK,1254,1254,0,117.6360,5696,669448,74.0395,pass_weight,0,0,0.0000,no_submission,kept_before_next_cpoc,,2472,,participant remains active before the next cPoC
gonka1cuwejs77gectp3n32wg8q27hlsa4m3hqspf4ww,265,4089970,2026-05-15 22:48:39 UTC,2026-05-16 01:48:39 MSK,4090370,4105361,904177,602785,1066,2,4102890,2026-05-16 17:05:17 UTC,2026-05-16 20:05:17 MSK,4103171,2026-05-16 17:29:07 UTC,2026-05-16 20:29:07 MSK,1254,236,-1018,22.1388,704,629010,69.5671,pass_weight,0,0,0.0000,no_submission,lost_at_failed_confirmation_poc,4103171,2190,335.927643572,confirmation weight drops below alpha and participant is excluded
gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,268,4136143,2026-05-18 16:14:41 UTC,2026-05-18 19:14:41 MSK,4136543,4151534,698639,465760,62145,0,4136924,2026-05-18 17:22:09 UTC,2026-05-18 20:22:09 MSK,4139231,2026-05-18 20:42:55 UTC,2026-05-18 23:42:55 MSK,91616,90027,-1589,144.8660,0,0,0.0000,no_submission,77984,575036,82.3080,pass_weight,reduced_before_failure,,12303,,confirmation weight already reduced before the later exclusion
gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,268,4136143,2026-05-18 16:14:41 UTC,2026-05-18 19:14:41 MSK,4136543,4151534,698639,465760,62145,1,4139232,2026-05-18 20:43:01 UTC,2026-05-18 23:43:01 MSK,4141308,2026-05-18 23:43:44 UTC,2026-05-19 02:43:44 MSK,90027,89471,-556,143.9714,0,0,0.0000,no_submission,77504,579803,82.9904,pass_weight,reduced_before_failure,,10226,,confirmation weight already reduced before the later exclusion
gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,268,4136143,2026-05-18 16:14:41 UTC,2026-05-18 19:14:41 MSK,4136543,4151534,698639,465760,62145,2,4141309,2026-05-18 23:43:50 UTC,2026-05-19 02:43:50 MSK,4144897,2026-05-19 04:56:14 UTC,2026-05-19 07:56:14 MSK,89471,89030,-441,143.2617,0,0,0.0000,no_submission,77120,588609,84.2508,pass_weight,reduced_before_failure,,6637,,confirmation weight already reduced before the later exclusion
gonka1q5xt54wncgzk7dxv9x64uln68455g83wu9tugg,268,4136143,2026-05-18 16:14:41 UTC,2026-05-18 19:14:41 MSK,4136543,4151534,698639,465760,62145,3,4144898,2026-05-19 04:56:20 UTC,2026-05-19 07:56:20 MSK,4145179,2026-05-19 05:20:52 UTC,2026-05-19 08:20:52 MSK,89030,14477,-74553,23.2955,0,0,0.0000,no_submission,12480,619380,88.6552,pass_weight,lost_at_failed_confirmation_poc,4145179,6355,25309.087745610,confirmation weight drops below alpha and participant is excluded
gonka1007py6y2qfn2vaqrthqhtchkwx64hgzc6w544w,269,4151534,2026-05-19 14:33:15 UTC,2026-05-19 17:33:15 MSK,4151934,4166925,679397,452932,5324,0,4153434,2026-05-19 17:19:10 UTC,2026-05-19 20:19:10 MSK,4155549,2026-05-19 20:23:22 UTC,2026-05-19 23:23:22 MSK,7755,7755,0,145.6612,0,0,0.0000,no_submission,7232,589387,86.7515,pass_weight,kept_before_next_cpoc,,11376,,participant remains active before the next cPoC
