epoch,affected_rows,source_denominator_mode,raw_root_total_weight,raw_root_sum_weight,raw_root_sum_confirmation,source_root_fields_match_raw,source_rows_match_raw_root_and_performance,affected_weight_sum,affected_confirmation_sum,affected_actual_rewards_gonka,kimi_model_rows,kimi_model_weight_sum,kimi_model_confirmation_sum,same_kimi_addresses_root_weight_sum,same_kimi_addresses_root_confirmation_sum,source_topup_comp_gonka,source_recalc_matches,all_confirmation_denominator,all_confirmation_comp_gonka,replace_affected_denominator,replace_affected_comp_gonka,source_minus_all_confirmation_gonka,source_minus_replace_affected_gonka,upgrade_4267300_inside_epoch,pre_upgrade_block_share_e276,status
267,25,root_total_weight,541415,541415,948169,True,True,307871,738029,141564.657547540,27,658820,915743,334289,738372,246471.823957226,True,948169,88917.163952910,971573,84012.068346910,157554.660004316,162459.755610316,False,,cap_effect_confirmed_denominator_policy_required
268,11,root_total_weight,698639,698639,597867,True,True,280505,329330,91487.801085151,20,449753,595505,415296,362063,42634.684509205,True,597867,65241.369805967,747464,33986.241974065,-22606.685296762,8648.442535140,False,,cap_effect_confirmed_denominator_policy_required
269,19,root_total_weight,679397,679397,677463,True,True,363466,425055,130420.977335666,30,450982,594890,437006,440856,47504.581758505,True,677463,48012.518031473,740986,33029.811095976,-507.936272968,14474.770662529,False,,cap_effect_confirmed_denominator_policy_required
270,19,root_total_weight,717467,717467,879344,True,True,465033,635900,175070.098857984,23,521085,681025,477499,639668,76870.083553475,True,879344,30965.834115886,888334,28960.024942392,45904.249437589,47910.058611083,False,,cap_effect_confirmed_denominator_policy_required
271,17,root_total_weight,796030,796030,754946,True,True,497885,502306,150862.528049148,23,488471,640601,547799,515188,28422.154068920,True,754946,38178.788159498,800451,27440.162768503,-9756.634090578,981.991300417,False,,cap_effect_confirmed_denominator_policy_required
272,11,root_total_weight,823183,823183,726349,True,True,363059,335846,98874.045547984,23,508968,658739,578323,511701,16988.149548048,True,726349,32434.442996421,795970,20949.301243654,-15446.293448373,-3961.151695606,False,,cap_effect_confirmed_denominator_policy_required
273,20,root_total_weight,758715,758715,893211,True,True,449055,646253,155534.026388611,30,631147,815951,536079,667743,86243.303557245,True,893211,50077.516007804,955913,36695.231629458,36165.787549441,49548.071927787,False,,cap_effect_confirmed_denominator_policy_required
274,9,root_total_weight,766804,766804,741816,True,True,382785,473427,133349.262497111,24,524596,678323,526017,509880,41818.441790908,True,741816,47718.948917680,857446,23463.501085505,-5900.507126772,18354.940705403,False,,cap_effect_confirmed_denominator_policy_required
275,18,root_total_weight,736925,736925,945908,True,True,462762,667735,166971.924840443,24,589904,763391,502805,715909,89984.775198122,True,945908,33938.754950874,941898,34759.729245852,56046.020247248,55225.045952270,False,,cap_effect_confirmed_denominator_policy_required
276,11,root_total_weight,798029,798029,714732,True,True,360013,432120,103201.017694467,23,629257,812469,554375,483800,50281.353229327,True,714732,68168.646719533,870136,37562.475582385,-17887.293490206,12718.877646942,True,0.4957,cap_effect_confirmed_denominator_policy_required
